,name,ingredients,cuisine
10,Sticky bourbon BBQ wings with blue cheese dip,"1kg whole chicken wings 2 tbsp olive oil 4 celery sticks , each cut into 4 small sticks (keep some with their leaves) bunch French breakfast radishes (with their leaves if you can get them) 150ml tomato ketchup 100ml cider vinegar 100ml bourbon 4 tbsp dark brown sugar 2 tbsp hot chilli sauce 1 tbsp Worcestershire sauce 1 tsp ground cumin 1 tsp ground coriander 1 tsp ground paprika 1 tbsp butter 100g gorgonzola 150ml soured cream 50g mayonnaise good squeeze  lemon juice",american-recipes
11,Southern-fried prawns,"sunflower oil , for deep-frying ½ bunch of coriander , leaves picked, to serve 1 lemon , zested (optional) and cut into wedges to serve 100ml buttermilk ½ tsp garlic granules 1 tsp ground ginger 18 jumbo raw prawns , head left on, tails peeled, butterflied 100g plain flour 1 tbsp cornflour ½ tsp  cayenne pepper ½ tsp dried thyme ½ tsp ground coriander 50g cornflakes , crushed to fine crumbs",american-recipes
12,Spicy pies with sweet potato mash,"1kg sweet potatoes , peeled and cut into large chunks 2 tbsp milk 50g mature cheddar , finely grated 1 tbsp rapeseed oil 2 onions , halved and sliced 500g lean beef mince (5% fat) 1 tbsp smoked paprika , plus extra for sprinkling 1 tbsp ground cumin 1 tbsp ground coriander 1 tbsp mild chilli powder 1 tbsp vegetable bouillon powder 400g can black-eyed beans 400g can chopped tomatoes 1large green pepper , diced 326g can of sweetcorn in water broccoli or salad, to serve (optional) ",american-recipes
13,Cheesesteak hot dogs,"1 large rib-eye steak (approx 300g) 3 tbsp olive oil 2 garlic cloves , crushed but whole 2 green peppers , sliced 4 hot dog buns 60g smoked cheddar , sliced, yellow mustard (we used French’s), to serve 2 tbsp crispy onions",american-recipes
14,Creamed corn,"75g butter 1 onion , finely chopped 3 corn cobs 1 tsp sugar 125ml single cream grated cheddar or mozzarella",american-recipes
15,American pancakes,"200g self-raising flour 1 ½ tsp baking powder 1 tbsp golden caster sugar 3 large eggs 25g melted butter, plus extra for cooking 200ml milk vegetable oil, for cooking maple syrup toppings of your choice, such as  cooked bacon, chocolate chips, blueberries or peanut butter and jam",american-recipes
16,Baby back ribs with Carolina baste,50g light brown soft sugar 2 tbsp smoked paprika 2 tbsp English mustard powder 1 tsp celery salt 1 tsp garlic granules 4 racks baby back pork ribs (about 450g each) 250ml yellow mustard (we used French’s Classic) 150ml cider vinegar 2 tbsp treacle 75g light brown soft sugar 2 tbsp Worcestershire sauce 1-2 tbsp hot chilli sauce 2 tsp hot chilli powder,american-recipes
17,Choc chip pecan pie,"300g plain flour 75g salted butter , cubed 100g cream cheese 1 tbsp icing sugar 150g salted butter 200ml maple syrup 250g light brown soft sugar 100g dark brown soft sugar 4 eggs , beaten 1 tsp vanilla extract 400g pecans , finely chopped 200g dark chocolate chips , or a bar, chopped",american-recipes
18,American burnt onion dip,"1 onion 1 tbsp olive oil 150ml soured cream 50g mayonnaise raw vegetables , to serve",american-recipes
19,Smoky braised brisket,"800g-1kg brisket , boneless 1 tbsp light muscovado sugar 1 tsp smoked paprika pinch chilli flakes ½ tsp garlic granules ½ tsp ground cumin 1 dried chipotle chilli 1 tbsp beef dripping or neutral oil 1 onion , sliced 1 carrot , chopped 1 garlic clove , finely chopped 1 thyme sprig 1 bay leaf 1 star anise 1 lemon , zested 800ml good beef stock 1 tbsp plain flour 1 tbsp butter 1 tbsp honey 1 tbsp snipped chives 100g soured cream or crème fraîche ½ lemon , juiced jacket potatoes buttered kale",american-recipes
20,Stickiest ever BBQ ribs with chive dip,"2 racks baby back pork ribs 2 cans cola 2 tsp toasted sesame seed (optional) 8 tbsp tomato ketchup 8 tbsp soft brown sugar 2 tbsp soy sauce 2 tbsp Worcestershire sauce 2 tbsp sweet chilli sauce 1 tsp paprika 300ml pot half-fat soured cream 2 tbsp salad cream small bunch chive, snipped 6 spring onions, sliced",american-recipes
21,Sloppy joes,"1 tbsp vegetable oil 1 onion , finely chopped 2 small red peppers or yellow peppers, finely chopped 2 garlic cloves , crushed 400g minced beef 2 x 400ml cans chopped tomatoes 2 tbsp chipotle or smoky barbecue sauce 4 cheese slices 6 burger buns crispy onions , to serve iceberg lettuce , to serve",american-recipes
22,Edible cookie dough,"100g butter, softened to room temperature 175g soft brown sugar 2 tsp vanilla extract 140g plain flour 2 tbsp full-fat milk",american-recipes
23,All-American T-bone,"700g T-bone steak 2 garlic cloves , bashed ½ small pack thyme ½ tbsp olive oil 50g butter",american-recipes
0,"Bourbon, black cherry & bacon brownies","200g dried sour cherries 100ml bourbon 1 tsp cinnamon 50ml maple syrup 6 rashers smoked streaky bacon your favourite brownie mixture (see Goes well with for our Best-ever brownies recipe)  a little cocoa powder , for dusting",american-recipes
1,Smoky pork & Boston beans one-pot,"2 tbsp olive oil 2 garlic cloves , crushed 2 tbsp smoked paprika 500g pork loin steaks , quartered 2 x 400g cans cannellini beans , drained and rinsed 400g passata 2 tsp chipotle paste 1 tbsp dark soft brown sugar 100g ham hock , in large shreds 4 slices crusty white bread small handful flat-leaf parsley , roughly chopped",american-recipes
2,John Torode's big burger,"1 tbsp olive oil 2 tsp ground cumin 1 bay leaf 2 garlic cloves , crushed 2 small shallots , chopped 1 red chilli , chopped 1 celery  stick, chopped 500g very ripe tomatoes , roughly chopped 2 egg yolks 50g oyster sauce 6 slices bread , made into crumbs, then soaked in a little water 1kg good-quality beef  mince, not lean 8 slices gruyères  (optional) 4 burger buns , warmed little butter 4 tbsp good-quality mayonnaise squeezy mustard 1 beef tomato , sliced few cooked rashers streaky bacon Little Gem lettuce  leaves guacamole , see 'goes well with' few  gherkins",american-recipes
3,New York cheesecake,"85g butter, plus extra for tin 140g digestive biscuits, made into fine crumbs (add 2 extra biscuits if you like a thicker base) 1 tbsp sugar, granulated or golden caster 900g Philadelphia cheese, or other full-fat soft cheese 250g golden caster sugar 3 tbsp plain flour 1 ½ tsp vanilla extract finely grated zest of 1 lemon (about 2 tsp) 1 ½ tsp lemon juice 3 large eggs, plus 1 yolk 284ml carton soured cream 142ml carton soured cream 1 tbsp golden caster sugar 2 tsp lemon juice",american-recipes
4,BBQ pulled pork,"2 ½kg boneless pork shoulder, skin removed 3 tbsp olive oil 2 tsp Spanish paprika (pimentón) 2 tsp mustard powder 1 tsp garlic salt 1 tsp onion salt 1 tbsp liquid smoke (optional, see tip, below) 16 brioche buns (see 'goes well with') Tangy cabbage slaw, homemade chipotle molasses BBQ sauce (see recipes in 'goes well with') and sweet-and-sour pickled cucumbers from a jar, sliced",american-recipes
5,Peanut butter jelly cookies,"70g butter , softened 50g peanut butter 75g light brown sugar 75g golden caster sugar 1 medium egg 1 tsp vanilla extract 180g plain flour 2 tbsp chopped peanuts ½ tsp bicarbonate of soda 10 heaped tsp raspberry jam",american-recipes
6,Cobb salad with buttermilk ranch dressing,"2 Baby Gem lettuces , leaves separated 1 avocado , stoned and sliced 2 plum tomatoes , chopped 3 rashers cooked crispy bacon 140g/5oz cooked turkey breast or chicken, cut into bite-sized pieces 2 hard-boiled eggs , chopped into chunks 75ml buttermilk 2 tbsp light mayonnaise 1 tbsp white wine vinegar 1 tbsp chopped dill ½ garlic clove , crushed",american-recipes
7,Malt hot chocolate s'mores,"16 malted milk biscuits 8 squares of milk chocolate 8 marshmallows (vegetarian brand, if required)",american-recipes
8,Salt beef club with Cajun fries,"1 big potato , cut into thin chips 2 tsp olive oil ½ tsp Cajun seasoning 1 heaped tbsp mayonnaise 1 tsp chopped chive 1 tsp Dijon mustard 3 slices white or brown bread , lightly toasted 2 radishes , thinly sliced 1 baby or ½ avocado , sliced 2 slices salt beef couple  Little Gem lettuce leaves",american-recipes
9,Griddled chicken & corn on the cob salad,"4 small skinless chicken breasts 2 garlic cloves, crushed 1tbsp paprika juice 1  lemon 2tbsp olive oil 2 corn cobs 4 Little Gem lettuces, quartered lengthways ½ cucumber, diced",american-recipes
10,Sweet chilli dogs,"4 fat sausages (sweet chilli if you can get them) 2 onions , red, white or one of each 4 tbsp sweet chilli sauce 2 tbsp tomato purée 4 hot dog  buns",american-recipes
11,Key lime pie,"300g Hob Nobs 150g butter, melted 1 x 397g can condensed milk (we used Nestlé) 3 medium egg yolks finely grated zest and juice of 4 limes 300ml double cream 1 tbsp icing sugar extra  lime zest, to decorate",american-recipes
12,Caesar salad with crispy chicken,"4 crispy  chicken thighs , sliced (see Tip) 125ml light mayonnaise juice 1 lemon 1 tbsp Worcestershire sauce 50g parmesan , grated, plus extra to serve (optional) 1 garlic clove , crushed 50g croûton 1 large Cos lettuce or 4 Little Gem, ripped into pieces",american-recipes
13,Sticky ribs with roast potato salad,"3 racks pork spare ribs, or about 1.5kg/3lb 5oz single pork spare ribs 1 small onion , diced 1 tbsp olive oil 1 garlic clove , crushed 2 tbsp smoked paprika 1 tsp mild chilli powder 300ml tomato passata 2 tbsp tomato purée 150ml cider, white or red wine vinegar 125g dark muscovado sugar 1 ½kg new potatoes , skin on 2 tbsp olive oil 1-2 rosemary sprigs, finely chopped, or a pinch of mixed dried herbs 2 tbsp white or red wine vinegar",american-recipes
14,Crispy pretzel chicken with honey-mustard sauce,"100g salted pretzel 12 boneless, skinless chicken thighs flour , for dusting 2 eggs , beaten with a fork 1 tbsp olive oil 100ml wholegrain mustard 4 tbsp honey 1 tsp white wine vinegar green veg or salad and  potatoes , to serve (optional)",american-recipes
15,Best ever chocolate raspberry brownies,"200g dark chocolate, broken into chunks 100g milk chocolate, broken into chunks 250g pack salted butter 400g soft light brown sugar 4 large eggs 140g plain flour 50g cocoa powder 200g raspberries",american-recipes
16,Fluffy pancakes,"8 slices  pancetta, to serve (optional) sunflower oil and butter, for cooking blueberries, to serve (optional) 300g self-raising flour 1 tsp baking powder 1 tbsp caster sugar 2 medium  eggs 1 tbsp maple syrup, plus extra to serve 300ml milk",american-recipes
17,Custard & white chocolate biscuits,"140g butter , softened 175g caster sugar 1 egg ½ tsp vanilla extract 225g self-raising flour 85g custard powder 85g white chocolate , chopped into small chunks",american-recipes
18,Crispy chicken & apple slaw,"½ white cabbage, shredded ½ small onion, finely sliced 4 celery sticks, sliced 2 Granny Smith apples, quartered, cored and thinly sliced 1tbsp white wine vinegar 200g pot fat-free Greek yogurt 2 cooked chicken breasts, thinly sliced 2tbsp plain flour 1 egg, beaten 100g garlic and herb dried breadcrumb 4 frozen corn cobs barbecue sauce, to serve",american-recipes
19,Philly-style cheese dogs,"12 chipolatas 2 green peppers , sliced 1 onion , cut into wedges 3 garlic cloves , unpeeled 230g pack ready-made cheese sauce 4 large hot dog buns (we used submarine rolls)",american-recipes
20,Crispy Cajun onion rings,"50g plain flour 1 large onion , cut into 1cm slices, rings separated 2 egg whites olive oil , for greasing 2 tsp Cajun seasoning 100g breadcrumb",american-recipes
21,Baked buffalo chicken wings,"3 garlic cloves, crushed 2 tbsp olive oil 3 tbsp cider vinegar 1 tbsp paprika 1 tbsp Worcestershire sauce 2 tsp celery salt 4 tbsp pepper sauce (we used Frank's hot sauce) 3 tbsp honey 1 ½kg chicken wing, halved at the joint",american-recipes
22,Peanut butter cheesecake,"50g butter 175g pack peanut cookies 5 gelatine leaves 500g tub ricotta 175g smooth peanut butter 175g golden syrup 150ml milk 270ml pot double cream 2 tbsp soft brown sugar 1 bar peanut brittle, crushed",american-recipes
23,Sticky glazed ribs,"2kg spare ribs , cut into individual ribs 2 tbsp barbecue spice mix 150g tomato ketchup 140g chilli ketchup 3 tbsp soy sauce 140g runny honey 3 tbsp teriyaki sauce 4 tbsp bourbon whiskey",american-recipes
0,Crab & sweetcorn chowder,"1 onion , finely chopped 1 leek , green and white parts separated and sliced 2 carrots , chopped 850ml-1 litre/1.5 pints - 1.75 pints low-sodium chicken or vegetable stock 1 large potato , diced 175g/ 6oz frozen sweetcorn 170g can white crabmeat , drained 4 tbsp light crème fraîche 1 tsp chopped chives",american-recipes
1,Giant cookie,"200g butter at room temperature, plus extra for the pan 250g light brown sugar 2 egg yolks ½ tsp vanilla extract 275g plain flour 1 tsp baking powder 150g chocolate chips 100g other cookie fillings, such as pretzels, chopped nuts, pieces of fudge or toffee, marshmallows vanilla ice cream, to serve (optional)",american-recipes
2,Peach & blueberry grunt,"1 tbsp cornflour juice 2 oranges and zest from ½ 2 tbsp caster sugar 6 ripe peaches 250g blueberry 200g self-raising flour 50g butter , cut into small pieces, plus 15g/½oz, melted 100g light muscovado sugar 1 tsp ground cinnamon 5-6 tbsp milk",american-recipes
3,Bacon & pecan stuffing cornbread,"75g butter , melted, plus extra for the tin 250g fine polenta 150g plain flour 1½ tsp baking powder 1 tbsp sugar 500ml buttermilk  (or 500ml semi-skimmed milk with a squeeze of lemon juice) 2 eggs , beaten 25g bacon lardons 1 onion , chopped 2 celery sticks , chopped 1 garlic clove , crushed 75g dried apricots , halved 50g pecans , chopped ½ tsp ground  nutmeg 250g pork mince 1 ½ tbsp thyme leaves , chopped 25g dried cranberries",american-recipes
4,BBQ drumsticks with slaw,"8 chicken drumsticks 150ml barbecue sauce 1 large carrot , grated ½ white cabbage , shredded 1 red onion , thinly sliced 6 tbsp salad cream crusty bread , to serve",american-recipes
5,Cajun chicken,"4 skinless boneless chicken breast fillets 1 tbsp paprika 1 tsp dried onion  flakes ¼ tsp cayenne pepper 2 tsp dried thyme 1 tbsp sunflower oil 200g tub guacamole , to serve ",american-recipes
6,Peanut butter brownies,"225g crunchy peanut butter 200g bar dark chocolate, broken into pieces 280g soft light brown sugar 3 medium eggs 100g self-raising flour",american-recipes
7,"Spicy corn, black bean & feta salad","2 sweetcorn 400g can black beans , drained and rinsed 1 avocado , cut into chunks 200g cherry tomatoes , halved 4 spring onions , roughly chopped 100g feta cheese , crumbled lime wedges, to serve (optional) 1 tsp ground cumin 1 tbsp chipotle Tabasco sauce (use regular Tabasco if you can't find this) juice and zest 2 limes 1 tbsp sherry vinegar 2 tbsp extra-virgin olive oil",american-recipes
8,Buffalo wings with blue cheese dip,"4 tbsp butter 5 tbsp hot sauce such as Tabasco sauce or Crystal 1 tbsp white wine vinegar 900g/2lb - 1kg/2lb 4oz chicken wings ¼ tsp celery salt (optional) flour , for dusting sunflower oil , for frying celery sticks, to serve 150ml buttermilk 150ml soured cream 85g blue cheese , crumbled 1 garlic clove , crushed ¼ tsp sweet paprika",american-recipes
9,Sizzling spare ribs with BBQ sauce,"4 x 500g packs   pork  spare ribs 1 bunch of  spring onions , roughly chopped (green stems and all) 1 Scotch bonnet  chilli , seeded and finely chopped 4 garlic cloves , roughly chopped 6 tbsp Appleton rum 6 tbsp demerara sugar 6 tbsp dark soy sauce 6 tbsp  clear honey 6 tsp Dijon mustard 1 tsp ground allspice",american-recipes
10,Simple creamed corn,"50g butter ½  onion , chopped 2 corn , sliced from 2 large cobs pinch  sugar a good grating nutmeg",american-recipes
11,"Butternut, maple & pecan lattice pie","700g chunk butternut squash or pumpkin 1 tbsp vegetable or sunflower oil 175g light muscovado sugar 250g tub mascarpone ½ tsp freshly grated nutmeg 1 heaped tsp ground cinnamon 1 heaped tsp ground ginger 2 eggs 3 tbsp maple syrup , plus more to serve 1 tsp vanilla extract 2 x 375g packs chilled dessert pastry plain flour , for rolling milk , for brushing handful pecan halves, very roughly chopped icing sugar and whipped cream, to serve",american-recipes
12,Maple-glazed hot dogs with mustardy onions,"8 good-quality pork sausages 2 tbsp sunflower oil 2 onions , thinly sliced 1 tsp yellow or black mustard seeds 2 tbsp maple syrup 4 part-baked mini  baguettes (or cut a French stick into 4 pieces) 1 tbsp Dijon mustard large pinch brown or muscovado sugar 2 tsp wine or cider vinegar",american-recipes
13,BBQ chicken burgers,"4 skinless, boneless chicken breasts 4 rashers bacon (optional) 4 large burger buns , sliced in half lettuce , tomato and red onion, to serve 4 tbsp tomato ketchup 4 tbsp brown sauce splash chilli sauce (optional) 2 tsp clear honey 2 garlic cloves , crushed",american-recipes
14,Cajun chicken gumbo,"4 tbsp olive oil 5 skinless chicken breasts, cut into chunky pieces 1 onion, chopped 2 celery sticks, sliced 3 bay leaves 5 tbsp plain flour 4 tsp Cajun spice mix (or 1 each paprika, ground cumin, ground chilli and dried basil) 600ml chicken stock (made with 2 stock cubes) 2 green peppers, deseeded and cut into chunks 300g thickly sliced ham, trimmed of any fat and diced 3 spring onions, sliced 2 tbsp very roughly chopped parsley",american-recipes
