recipe,type
"450g/1lb fatty minced pork 50g/2oz breadcrumbs 1 free-range egg, beaten 1 garlic clove, crushed 1 tbsp chopped fresh parsley or marjoram 3 tbsp olive or sunflower oil salt and freshly ground black pepper 1.5kg/3lb 5oz floury potatoes, scrubbed  100g/3½oz butter 500g/1lb 2oz green cabbage, outer leaves removed and discarded, inner leaves sliced 250ml/9fl oz hot milk 2 tbsp chopped fresh parsley 1 large cooking apple, peeled, cored and roughly chopped 1 tbsp water 25-50g/1-2oz caster sugar ",irish
"2 tbsp vegetable oil  1kg/2lb 4oz braising steak, cut into 2.5cm/1in chunks 2 onions 3 celery stalks 4 large carrots 1 litre/1¾pint beef stock (from stock cubes) 900g/2lb potatoes 25g/1oz unsalted butter sea salt and freshly ground black pepper ",irish
2 good glugs of Irish whiskey 2 tsp demerara sugar enough hot strong coffee to fill the glasses 2 heaped tbsp whipped cream ,irish
"100g/3½oz butter 250g/8¾oz digestive biscuits, crushed 600g/1lb 5oz cream cheese 25ml/1fl oz Baileys or other Irish cream liqueur 100ml/3½oz icing sugar 300ml/10½oz double cream, whipped 100g/3½oz grated chocolate 200ml/7¼oz double cream, whipped cocoa powder, to dust ",irish
"100g/3½oz butter, softened ½ loaf white farmhouse bread, sliced 60g/2¼oz sultanas 3 large free-range egg yolks 2 large free-range eggs 40g/1½oz caster sugar 300ml/10½fl oz double cream 300m/10½fl oz milk 2 drops vanilla extract 5 tbsp Irish cream liqueur 20g/¾oz demerara sugar double cream, to serve ",irish
"200g/7oz wholemeal flour 275g/9¾oz strong white flour, plus extra for sprinkling 1 heaped tsp bicarbonate of soda pinch salt 200ml/7fl oz buttermilk 1 large free-range egg 1 tsp honey 1 large potato 250g/9oz un-dyed smoked haddock fillets, skin on 1 bay leaf 1 shallot, halved 650ml/22fl oz full-fat milk 30g/1oz unsalted butter 1 onion, chopped 1 clove garlic, sliced 150g/5½oz sweetcorn kernels (thawed, if frozen) handful runner beans, sliced 6 scallops, sliced 12 steamed clams 200g/7oz pollock fillet, diced 150g/5½oz raw king prawns  1 tbsp chopped fresh flat-leaf parsley freshly ground black pepper ",irish
"150ml/5fl oz whole milk 1½ tbsp plain flour 400g/14oz Irish cheddar cheese, grated 160g/6oz breadcrumbs 1 tsp English mustard powder 120ml/4fl oz stout 2 free-range eggs, yolks only 4 spring onions, finely chopped 6 slices toasted soda bread ",irish
170g/6oz self-raising wholemeal flour 170g/6oz plain flour ½ tsp salt ½ tsp bicarbonate of soda 290ml/½ pint buttermilk ,irish
"1½kg/3lb 5oz stewing beef, cut into cubes 175g/6oz streaky bacon 3 tbsp olive oil 12 baby onions, peeled 18 button mushrooms, left whole 3 carrots, cut into quarters or 12 baby carrots, scrubbed and left whole salt and freshly ground black pepper 1 tbsp chopped thyme 2 tbsp chopped parsley 10 cloves of garlic, crushed and grated 425ml/15fl oz red wine 425ml/15fl oz chicken or beef stock 50g/2oz butter 50g/1¾oz flour champ, to serve ",irish
250g/9oz plain wholemeal flour 250g/9oz plain white flour 1 tsp bicarbonate of soda 1 tsp salt 420ml/15fl oz buttermilk extra flour for dusting ,irish
"1½kg/3lb 5oz potatoes, scrubbed 100g/3½oz butter 500ml/18fl oz milk (if you want it rich use ¾ milk to ¼ cream) 450g/1lb peas 75g/2¾oz spring onions, chopped 4 tbsp chopped parsley salt and freshly ground black pepper ",irish
"4 red peppers 55g/2oz butter 425g/15oz potatoes, peeled and chopped into 5mm/1/4in cubes 110g/4oz onions, finely chopped 1 tsp salt freshly ground pepper 900ml/1½pt home-made chicken stock or vegetable stock 120ml/4fl oz creamy milk sprigs of flatleaf parsley roasted chillies (optional) ",irish
"55g/2oz butter 425g/15oz potatoes, peeled and diced to 5mm/1/3in  110g/4oz onions, diced  900ml/1½pt home-made chicken stock or vegetable stock 120ml/4fl oz creamy milk salt and freshly ground black pepper freshly chopped herbs to garnish (optional) ",irish
"225g/8oz butter 55g/2oz caster sugar 2 eggs, preferably free range 340g/12oz white flour, preferably unbleached 750g/1½lb red rhubarb, sliced about 1cm/½in thick 250g/9oz - 400g/14oz sugar caster sugar for sprinkling softly whipped cream barbados sugar ",irish
"350g/12oz beef fillet, trimmed and in one piece 1 tbsp olive oil 1 tsp cracked black peppercorns mixed salad leaves, to serve 1 tablespoon snipped fresh chives, to garnish fresh chervil leaves, to garnish 3 celery sticks, cut diagonally into 1cm/½in slices 3 tbsp olive oil ¼ tsp salt ½ tsp cracked black peppercorns 50g/2oz Cashel Blue cheese, crumbled Makes about 250ml/9fl oz (use only 150ml/5fl oz) ½ tsp salt ½ tsp freshly ground black pepper 2 tsp Dijon mustard 2-4 tbsp white wine vinegar 225ml/8fl oz light olive oil ",irish
"370g/13oz plain flour, plus extra for dusting  130g/4½oz wholemeal flour  1 tsp bicarbonate of soda  1 tsp salt  40g/1½oz butter, melted  1 tbsp black treacle  300–340ml/11–12fl oz buttermilk (or alternatively use warm milk plus 1 tbsp lemon juice) ",irish
"450g/1lb self-raising white flour, plus extra for dusting and rolling 450g/1lb wholemeal flour 2 tsp soft brown sugar 2 tsp bicarbonate of soda 2 tsp flaked sea salt 500g/1lb 2oz full-fat natural yoghurt 350ml/12fl oz full-fat milk, plus extra for glazing ",irish
"vegetable oil, for greasing 200g/7oz plain flour, plus extra for dusting  2 tsp bicarbonate of soda 1 tsp salt 550g/1lb 4oz wholemeal flour, plus extra for dusting  2 tbsp dark brown sugar 300ml/½ pint stout 220ml/8fl oz buttermilk ",irish
"450g/1lb plain white flour 1 tsp bicarbonate of soda 1 tsp cream of tartar 1 tsp sea salt 1 tsp sugar 300ml/10½fl oz buttermilk 2 tbsp butter, plus extra to serve 1 kg/2lb 3oz mashed potato 125g/4½oz plain flour, plus extra for dusting salt, to taste 8 beef or pork sausages 4 ripe tomatoes, cut in half 250-300g/9-10½oz button mushrooms, cleaned 4 tbsp olive oil salt and freshly ground black pepper 8 slices ready-made black pudding 8 rashers smoked bacon 8 free-range eggs ",irish
"about 1kg/2¼ lb scrag end or neck of lamb on the bone 2 carrots 1 large onion 2  celery sticks 1 leek 2-3 garlic cloves, crushed 1 large bay leaf 1 large sprig fresh thyme sea salt and freshly ground black pepper 150g/5oz small carrots 150g/5oz baby or pickling onions 1 large floury potato, about 300g/10oz weight, peeled and diced finely 2 spring onions, thinly sliced a little fresh chopped parsley ",irish
"2 big knobs butter glug olive oil 4 medium onions, cut into various sizes 3 cloves garlic, crushed 6 large potatoes, cut into various sizes  8 lamb chops, excess fat trimmed off and reserved - thick neck chops will be best (go to a butcher if you can) salt and freshly ground black pepper 565ml/1 pint good-quality lamb stock chopped parsley, optional ",irish
"675g/1½lb plain mashed potato, still hot 225g/8oz kale or savoy cabbage, cooked and chopped 225g/8oz carrots, peeled, cooked and roughly mashed 125ml/4fl oz double cream 125ml/4fl oz milk 6 spring onions, sliced 55g/2oz butter, melted ",irish
