recipe,type
"2 tbsp olive oil 2 large onions, roughly chopped 3 garlic cloves, finely chopped 1 tsp ground ginger ½ tsp ground white pepper ¼ tsp ground cinnamon ¼ tsp cloves, roughly broken up generous pinch of saffron, soaked in a little water 300ml/10fl oz chicken stock or water 1 whole chicken, jointed into 8 pieces 2 preserved lemons, cut into strips 20 green olives 2 tbsp fresh parsley, finely chopped 2 tbsp fresh coriander, finely chopped ",north_african
"a thumbnail-sized piece of tamarind pod 285ml/½ pint good-quality red wine 3kg/6½lb best beef mince (for best results, get good rump steak and mince it yourself) 250g/9oz blanched almonds 24 black peppercorns, crushed a thumb-sized piece of fresh ginger, finely chopped 2 hot chillies, finely chopped a few sprigs of marjoram, leaves only 20 coriander seeds, crushed 4 cloves garlic, finely chopped 1 small onion, finely chopped one lemon, grated zest only handful of sultanas 285ml/½ pint double cream 125gm/4oz unsalted butter, softened salt and freshly ground black pepper 8 bay leaves cumin seeds, for sprinkling butter, for greasing 565ml/1 pint milk 10 eggs, whisked 2 tbsp medium curry powder 1 teaspoon baking powder freshly grated nutmeg, to taste salt and freshly ground black pepper ",north_african
200g/7oz couscous ½ tsp salt 100g/3½oz pine nuts 570ml/20fl oz/1 pint boiling water ,north_african
"200g/7oz quinoa, cooked according to the packet instructions handful fresh parsley, chopped 1 tbsp chopped fresh mint 1 red pepper, finely diced 1 cucumber, finely diced 1 red onion, finely diced 2 tbsp extra virgin olive oil 1 lemon, juice only salt and freshly ground black pepper ½ tsp cloves 1 tsp fennel seeds 1 tsp coriander seeds 1 tsp cumin seeds 1 tsp paprika pinch turmeric ½ tsp chilli flakes 50g/2oz hazelnuts, chopped 30g/1oz pistachios, chopped 1 tbsp sesame seeds 4 tbsp honey 1 orange, juice only salt and freshly ground black pepper  4 tbsp olive oil 12 lamb cutlets ",north_african
"200g/7oz chicken breast, cut into large cubes 600g/1lb 5½oz chicken thighs or wings 1 tbsp harissa paste 1 tbsp vegetable oil 1 onion, sliced 2 garlic cloves, crushed 1 tsp ground cinnamon 1 tsp ground cumin 1 tsp ground ginger 1 tsp ground turmeric 1 tsp chilli flakes 450ml/16fl oz chicken stock 100g/3½oz dried apricots, quartered 1 x 400g tin chopped tomatoes 1 x 400g tin chickpeas, rinsed, drained salt and freshly ground black pepper 2 tbsp freshly chopped mint 2 tbsp freshly chopped parsley  couscous, cooked according to packet instructions 150g/5½oz Greek-style yoghurt handful of flaked almonds ",north_african
100g/4oz sesame seeds 100g/4oz blanched almonds 50g/2oz coriander seeds 10g/½oz cumin seeds 1 tsp sea salt ½ tsp pepper Turkish bread olive oil ,north_african
"2 tsp ground cumin 1 tsp ground turmeric 2 tsp ras-el-hanout spice mix ½ tsp saffron strands 4 tbsp vegetable oil 600g/1lb 6oz goat meat (a mixture of shoulder, neck and leg), cut into large dice 1 onion, finely chopped 2 garlic cloves, chopped 1 red chilli, stalk and seeds removed, chopped 4cm/1½in fresh root ginger, unpeeled, finely grated 1 cinnamon stick 1 x 400g tin tinned tomatoes 1 tbsp honey 125g/4½oz ready-to-eat dried apricots, roughly chopped 1 medium preserved lemon, skin only, roughly chopped sea salt and freshly ground black pepper 50g/1¾oz pistachios, roughly chopped 3 tbsp roughly chopped fresh coriander leaves 3 tbsp roughly chopped fresh flat leaf parsley 3 tbsp roughly chopped fresh mint leaves 25g/1oz butter 200g/7oz couscous 50g/1¾oz pistachios, roughly chopped 50g/1¾oz flaked toasted almonds 50g/1¾oz pine nuts, toasted 50g/1¾oz ready-to-eat apricots, roughly chopped 1 preserved lemon, skin only, finely chopped 3 tbsp roughly chopped fresh mint leaves 3 tbsp roughly chopped fresh coriander root and leaves 3 tbsp roughly chopped fresh flatleaf parsley 1 lemon, juice only sea salt and freshly ground black pepper ",north_african
"175g/6oz bulgur wheat 700ml/1¼ pints chicken stock, warmed 2 chipotle dried chillies 1 tsp fenugreek seeds 1 tsp cumin seeds 1 tsp coriander seeds 2 garlic cloves, roughly chopped 2 shallots, roughly chopped 2 red chillies, seeds removed, roughly chopped 2 tbsp olive oil or rapeseed oil 200g/7oz toasted pine nuts 1 pomegranate seeds ½ bunch fresh mint, roughly chopped ½ bunch fresh coriander, roughly chopped 1 lemon, zest and juice salt and freshly ground black pepper 8 lamb chops ½ bunch rosemary, tied with string 50ml/2fl oz olive oil ",north_african
"2 tbsp vegetable oil  500g/1lb 2oz lamb chops, fat trimmed  1 onion, finely chopped pinch saffron  2 tsp ras el hanout ½ tsp ground ginger  ½ tsp ground white pepper  ½ tsp ground black pepper 1 beef stock cube 100g/3½oz brown lentils 1.2 litres/2 pints boiling water 2 tbsp tomato purée  400g tin chopped tomatoes 400g can chickpeas, drained and rinsed 1 tbsp plain flour 100g/3½oz vermicelli noodles  1 bunch fresh parsley, finely chopped 1 bunch fresh coriander, finely chopped  ",north_african
"4 tbsp olive oil 2 tbsp ground cumin 2 tbsp ground coriander 1kg/2lb 4oz lamb neck fillet, trimmed and cut into small pieces 2.5cm/1in piece fresh root ginger, finely grated  2 onions, thinly sliced 250ml/9fl oz dry white wine 400g tin chopped tomatoes 2 tbsp tomato purée 2 tbsp clear honey 1½ tbsp harissa paste (preferably rose)  ½ lemon, juice and finely grated rind only 400g tin cannellini beans, drained and rinsed salt and freshly ground black pepper ",north_african
"150g/5oz unsalted butter, softened 2 sprigs chervil, roughly chopped 2 sprigs tarragon, roughly chopped 2 fresh anchovy fillets, roughly chopped 1 garlic clove, roughly chopped ½ lemon, juice only 4 x 200g/7oz lamb fillets, trimmed freshly ground black pepper  4 sheets brik pastry (available in specialist North African stores or online, alternatively use filo pastry) 110g/4oz clarified butter, melted vegetable oil, for deep fat frying 4 large globe artichokes, leaves removed, cut short and middle choke removed with a teaspoon ½ lemon, juice only 50g/2oz butter 1 tbsp olive oil 1 garlic clove, finely chopped 2 sprigs chervil, roughly chopped salt and freshly ground black pepper 50g/2oz butter 1 tbsp olive oil 110ml/4fl oz ready-made lamb jus or reduced lamb stock 2 tbsp sherry vinegar 4 tbsp olive oil  2 ripe tomatoes, halved lengthways ",north_african
"2 tbsp olive oil 4 lamb shanks 2 onions, thickly sliced 4 garlic cloves, finely chopped 1 tsp ground coriander 1 tsp ground cumin ½ tsp cayenne pepper ½ tsp ground cinnamon ½ tsp ground cardamom ½ tsp ground ginger 600ml/20fl oz chicken stock large pinch saffron, soaked in warm water salt and freshly ground black pepper 1 tbsp honey 12 dried figs 1 tbsp preserved lemon, finely chopped 1 tbsp lemon juice few parsley leaves few mint leaves ",north_african
"4 lamb shanks  3 tbsp olive oil 1 onion, thickly sliced 2 garlic cloves, peeled, finely chopped 1 tsp ras-el-hanout 2 tbsp harissa paste 2 cinnamon sticks ½ tsp ground ginger ½ tsp smoked sweet paprika 1 tsp ground cumin ¼ tsp freshly ground black pepper ½ tsp ground turmeric 1 x 400g/14oz tin chopped tomatoes 1 tbsp clear honey ½ tsp saffron 350ml/12fl oz chicken stock 125g/4½oz stoneless dried apricots, halved 110g/3¾oz green olives, stones removed 100g/3½oz flaked almonds, leave a few for garnish salt and freshly ground black pepper 175g/6oz bulgur wheat 350ml/12fl oz chicken stock 1 small red onion, finely chopped 350g/12oz pistachio nuts, shells removed, roughly chopped 1 lemon, juice and zest 1 pomegranate, seeds only 3 tbsp extra virgin olive oil 3 tbsp chopped fresh flat leaf parsley  3 tbsp chopped fresh coriander leaves 3 tbsp chopped fresh mint  3 tbsp chopped fresh tarragon 2 tbsp coriander cress  ",north_african
"1 tsp ras-el-hanout ½ tsp ground cinnamon ½ tsp ground ginger ½ tsp smoked sweet paprika ½ tsp ground cumin ¼ tsp freshly ground black pepper ¼ tsp ground turmeric 4 lamb shanks  3 tbsp olive oil 1 onion, thickly sliced 2 garlic cloves, peeled, finely chopped 1 x 400g/14oz tin chopped tomatoes 1 tbsp runny honey 2 tbsp pomegranate molasses (available from Middle Eastern grocers and some supermarkets) ½ tsp saffron 350ml/12fl oz chicken stock 125g/4½oz stoneless dried apricots, halved 110g/4oz green olives, stones removed 75g/2½oz whole almonds salt and freshly ground black pepper 2 preserved lemons, rind only, chopped 175g/6oz bulgur wheat 350ml/12fl oz chicken stock 1 small red onion, finely chopped 100g/3½oz pistachios, roughly chopped 1 lemon, juice only 1 pomegranate, seeds only 3 tbsp extra virgin olive oil small bunch each of fresh flat leaf parsley, coriander and mint, chopped  salt and freshly ground black pepper ",north_african
"olive oil, for frying 1kg/2lb 4oz lamb shoulder, diced  2 onions, cut into thick semicircles  6–8 garlic cloves, peeled and left whole 2 small aubergines, diced pinch saffron 2 tsp coriander seeds, crushed 2 tsp cumin seeds, crushed few cardamom pods few black peppercorns pinch turmeric 300ml/10fl oz dry white wine 1 tbsp tomato purée 1 x 400g tin chopped tomatoes 1 x 400g tin chickpeas, drained large handful dried apricots, cut in half 500ml/18fl oz lamb or chicken stock 1 tbsp chopped fresh mint 1 tbsp chopped fresh coriander  250g/9oz couscous pinch of saffron 300ml/10fl oz hot chicken stock 100g/3½oz flaked almonds, toasted 100g/3½oz raisins, soaked in water 4 tbsp olive oil 4 tbsp mixed chopped herbs, such as mint, coriander and parsley ",north_african
"1 x 1kg/2lb 4oz boned leg of lamb, cut into large pieces  1 tsp ground ginger  1 tsp ground cumin 6 tbsp olive oil 1 large onion, thinly sliced 2 large carrots, finely chopped 3 sage leaves 1 cinnamon stick 1 tsp black peppercorns 500ml/18fl oz hot chicken stock  2 courgettes, sliced 1 large aubergine, cut into 2cm/¾in pieces 3 large potatoes, cut into 2cm/¾in pieces 400g tin chickpeas, drained and rinsed flaked sea salt and freshly ground black pepper 400g/14oz couscous 1 tbsp butter 800ml/1 pint 8fl oz boiling chicken stock small handful fresh coriander, roughly chopped, to garnish  small handful fresh parsley, roughly chopped, to garnish ",north_african
"1.5kg/3¼lb leg of lamb, cubed 2 tsp ground coriander seeds 2 tsp ground ginger pinch saffron 2 tbsp olive oill 18 shallots whole, peeled 4 garlic cloves, crushed 1 tbsp plain flour 1 tbsp tomato purée 1 cinnamon stick 600ml/1 pint lamb stock 2 tbsp flatleaf parsley, chopped  2 tbsp coriander, chopped  1 preserved lemon, rinsed, inner pulp removed 110g/4oz medjool dates, pits removed 1 tbsp clear honey ",north_african
"1 tsp vegetable oil 1 small onion (75g/2½oz peeled weight), thinly sliced 1 garlic clove, finely chopped  ½ red pepper (75g/2½oz), roughly chopped   pinch smoked paprika  300g/10½oz tinned chopped tomatoes  1 level tbsp tomato purée  2 medium free-range eggs  handful fresh parsley, chopped   salt and freshly ground black pepper, to taste  ",north_african
"1 garlic clove, crushed 2 tbsp chopped mint 1 tbsp ready-made mint sauce 150g/5½oz low-fat natural yoghurt 375g/13oz lean lamb, cubed 400g/14oz wholegrain couscous 2 small onions, cut into wedges 1 green pepper, cored, deseeded and cut into wedges lemon wedges, to serve salt and freshly ground black pepper ",north_african
"12 merguez sausages 1 lemon, juice and zest 150g/5oz couscous 1 red onion, finely chopped 2 tbsp extra virgin olive oil salt and freshly ground black pepper 4 tbsp chopped fresh coriander leaves  2 free-range egg yolks 2 tsp white wine vinegar 1 tsp Dijon mustard 300ml/10fl oz vegetable oil  15g/½oz dried red chillies, soaked in cold water and roughly chopped 50g/2oz fresh red chillies, seeds removed, roughly chopped 2 tsp ground cumin 2 tsp ground caraway seeds 1 tbsp smoked sweet paprika 2 garlic cloves 2 tbsp tomato purée 3 tbsp red wine vinegar 4 tbsp olive oil 4 crusty white rolls (optional) ",north_african
"1x1.5-2kg/3½-4lb chicken, jointed in 8 pieces (or you could use a pack of 8 drumsticks and thighs) 110g/4oz dried chickpeas 175g/6oz brown basmati rice 2 fresh chillies, halved, de-seeded and finely chopped 1 rounded tsp cumin seeds 1 level tbsp coriander seeds ½ tsp saffron stamens 2x15g packs or 30g/1oz fresh coriander 2 small thin-skinned lemons 2 large yellow peppers 2 large onions 3 cloves garlic, chopped 275ml/10fl oz carton good chicken stock 150ml/5fl oz dry white wine 50g/2oz pitted black olives 2 tbsp olive oil salt and freshly milled black pepper ",north_african
"½ tbsp olive oil ½ onion, chopped 1 garlic clove, sliced ½ tsp ras-el-hanout pinch ground cinnamon ½ tsp ground coriander 400g/14oz cherry tomatoes, chopped 2 tbsp chopped coriander 2 free-range eggs salt and freshly ground black pepper ",north_african
"240g/8¾oz brown lentils 4 tbsp olive oil 1 onion, finely chopped 4 garlic cloves, finely chopped 2 tbsp ras-el-hanout pinch dried red chilli flakes 1 tsp cumin seeds 4 large tomatoes, skins removed, seeds removed and roughly chopped 200ml/7fl oz vegetable stock bunch coriander, finely chopped 4 chicken supremes, each about 225g/8oz salt and freshly ground black pepper 2 tbsp flaked almonds, toasted, to garnish ½ red chilli, thinly sliced, to garnish ",north_african
"1 tbsp olive oil 1 large onion, thinly sliced 1 garlic clove, crushed 2 tsp grated fresh ginger 1 tsp ground cumin 1 tsp turmeric 1 cinnamon stick pinch cayenne pepper 400g/14oz can chopped plum tomatoes pinch salt 500g/1lb 2oz firm white fish fillets (cod, snapper or ling) cut into chunks 400g/14oz can chickpeas, rinsed and drained 2 tsp honey salt and freshly ground black pepper fresh coriander leaves flaked almonds, lightly toasted ",north_african
"200g/7¼oz plain flour 1 tsp ground cumin 1 tsp ground coriander ½ tsp ground cinnamon  water, to bind pinch of salt 1 clove garlic, finely chopped 2 tsp ground cumin 2 tsp thyme, chopped 75ml/2½fl oz olive oil 1 lamb leg steak 1 aubergine, sliced  1 courgette, sliced  1 roasted pepper from a jar 50g/1¾oz sun-dried tomatoes 100g herby marinated olives, stoned 1 lemon, juice only 100g/3½oz rocket 4 large red chillies 6 cloves garlic 25g/1oz fresh coriander 1 lemon, juice and zest only olive oil ",north_african
"1 tsp ground ginger 1 tsp freshly ground black pepper 1 tsp ground turmeric ½ tsp cayenne pepper 680g/1½ lb shoulder of kid or goat, trimmed and cut into large chunks  50g/1¾oz dried apricots, finely sliced 50g/1¾oz sultanas 1 tbsp rapeseed oil 2 onions, roughly chopped 8 garlic cloves, finely chopped 1 tbsp honey 2 x 400g tins chopped tomatoes ½ tbsp vegetable bouillon powder handful fresh coriander, roughly chopped, to garnish 250g/9oz couscous 500ml/18fl oz hot chicken stock 400g tin chickpeas, drained and rinsed 1 small red onion, very finely chopped 1 pomegranate, seeds removed 1 stick celery, finely chopped 1 tbsp shredded fresh mint 2 tbsp finely chopped flatleaf parsley ½ lemon, juice only 2 tbsp extra virgin olive oil sea salt and freshly ground black pepper ",north_african
"1  small chicken, jointed into pieces 2 tbsp olive oil 1 preserved lemon, washed and chopped, skin and pith only 1 clove garlic, crushed 1 tsp ground cumin 1 tsp turmeric 1 tbsp paprika 1 tsp crushed chilli flakes 4 tbsp chopped coriander 4 tbsp chopped parsley 3 spring onions, finely chopped 3-4 tbsp preserved lemon brine ",north_african
"200g/7oz good-quality mayonnaise  ½ lime, juice only 2 garlic cloves, crushed  20g/¾oz fresh mint, finely chopped  pinch of sea salt  ½ onion, peeled  2 garlic cloves, peeled  100g/3½oz ready-to-eat dried apricots  2 tsp ground cumin  25g/1oz fresh mint leaves  500g/1lb 2oz minced lamb shoulder (15–20 per cent fat content)  50g/1¾oz fresh white breadcrumbs  2 tbsp harissa paste  120g/4¼oz feta, crumbled  1 tsp sea salt  sunflower oil, for frying  2 Little Gem lettuces, shredded  2 tbsp pomegranate seeds (optional)  4 brioche burger buns, halved  ¼ cucumber, halved and thinly sliced ",north_african
"4 tbsp olive oil 8 garlic cloves, peeled and crushed 4 onions, peeled and chopped 4 tsp grated, fresh ginger 1½ tbsp coriander seeds, crushed 3 tsp ground cinnamon sea salt and freshly ground black pepper 3kg/7lb shoulder of lamb, boned, fat removed and cut into 4cm/1½in cubes 2 tbsp tomato purée  2kg/4½lb ripe tomatoes or 4 X 400g/14oz can tomatoes, coarsely chopped 4-5 tbsp honey 1 large or 2 small pomegranates 800g/1¾lb couscous 6 tbsp olive oil 2 lemons, juice only 1 litre/1¾ pints boiling chicken stock or water sea salt and freshly ground black pepper 4 tbsp chopped, fresh mint or coriander 1 lime, cut into wedges bowl Greek yoghurt ",north_african
"900g/2lb shoulder lamb 600ml/1 pint chicken stock 2 tbsp olive oil 1 large onion, roughly chopped 4 garlic cloves, chopped 1 tbsp ground cumin 1 tbsp ground coriander 1 tbsp hot paprika 1 x 400g/14oz can chopped tomatoes 1 cinnamon stick, broken in half 175g/6oz dried apricots ½ tsp ground black pepper 3 large pieces orange peel 2 oranges, segmented 1 red onion, finely chopped 1 red chilli, finely chopped handful fresh coriander leaves 1 tbsp fresh mint leaves, shredded 55g/2oz pine nuts, lightly toasted, to serve ",north_african
"4 tbsp olive oil 1 onion, chopped 900g/2lb lean leg of lamb, diced  salt and freshly ground black pepper ½ tsp ground coriander ½ tsp ground cinnamon 1 cinnamon stick ½ tsp ground cumin 1 tsp ginger pinch saffron threads, soaked in 1 tbsp water 12 prunes, soaked in warm water 4 tbsp clear honey 1 tsp orange flower water (or to taste) ",north_african
"2 small aubergines calorie controlled cooking oil spray ½ medium onion, finely chopped ½ tsp ground cumin ½ tsp ground coriander ¼ tsp hot chilli powder pinch ground cinnamon 227g/8oz tin chopped tomatoes ½ red pepper, deseeded and diced 1 medium courgette, cut into 1.5cm/½in chunks 400g/14oz tin chickpeas, drained and rinsed 2 heaped tbsp roughly chopped fresh coriander, plus extra to garnish 400ml/14fl oz vegetable stock, made with ½ stock cube  ½ small lemon, juice only 15g/½oz roughly chopped pistachio nuts (alternatively use toasted flaked almonds) 100g/3½oz  fat-free natural yoghurt, to serve ½ vegetable stock cube 80g/2¾oz wholegrain couscous ½ small lemon, finely grated zest only 2 heaped tbsp roughly chopped fresh coriander freshly ground black pepper ",north_african
"25g/¾oz butter 2 tbsp caster sugar 1 banana, sliced into large chunks 110g/4oz ready-made filo pastry 110g/4oz butter, melted 2 tsp ground cinnamon 4 tsp caster sugar 125g/4½oz dried apricots 40g/1½oz whole almonds, roughly chopped 2 tbsp honey 1 orange, zest only 2 tsp icing sugar ice cream, to serve ",north_african
"2 tsp cumin seeds 2 tsp fennel seeds  3 tsp coriander seeds 3 garlic cloves pinch saffron 2 dried red chillies, finely chopped 2 tbsp finely chopped fresh coriander  5 tbsp olive oil 2 slices pork shoulder, about 7.5cm/3in thick 1 tbsp olive oil 1 onion, finely chopped 1 garlic head, separated into peeled whole cloves  750ml/1¼ pints chicken or lamb stock  1 bay leaf  10–15 dried apricots  300g/10½oz couscous 1 cinnamon stick 1 tbsp red wine vinegar  1 tsp caster sugar 3 tbsp olive oil 1 tbsp finely chopped fresh mint 1 tbsp finely chopped fresh coriander 1 tbsp finely chopped fresh flatleaf parsley  1 unwaxed orange, zest only 1 unwaxed lemon, zest only 2 tbsp raisins 2 tbsp flaked almonds, toasted 2 tbsp pistachio nuts, toasted and roughly chopped salt and freshly ground black pepper ",north_african
"2-3 large, juicy garlic cloves, peeled, roughly chopped pinch sea salt flakes  2-3 good pinches smoked paprika  2-3 good pinches ground turmeric 1 tsp cumin seeds glug olive or groundnut oil  6 large chicken thighs, bone in and skin on good glug fruity olive oil 2 onions, peeled, roughly chopped 1 lemon, cut in half, thinly sliced pinch saffron strands handful green olives, pits removed small handful fresh coriander, roughly chopped ",north_african
"1 large onion, chopped 3 garlic cloves, crushed 275ml/10fl oz chicken stock  sea salt and freshly ground black pepper 4 chicken breasts 1 x 400g/14oz can chopped tomatoes  2 tsp ground cinnamon  1 tsp ground ginger  handful dried apricots or prunes (or both), chopped  2 tbsp clear honey  bunch fresh coriander, chopped couscous, to serve natural yoghurt, optional, to serve ",north_african
"2 whole small sea bass, gutted  4 tbsp harissa paste 1 lemon, zest and juice only 2 garlic cloves, sliced 1 tsp ground cumin pinch ground cinnamon pinch grated fresh nutmeg 2 tbsp olive oil, plus extra for greasing ½ bunch flatleaf parsley 4 plum tomatoes, cut into 1cm/½in slices 140g/5oz bulgur wheat 500ml/18fl oz chicken stock, warmed 1 red onion, finely chopped ½ bunch flatleaf parsley, roughly chopped ½ bunch mint, roughly chopped ½ bunch coriander, roughly chopped 100g/3½oz dried apricots, diced 1 pomegranate, seeds removed 100g/3½oz sultanas, left whole 100g/3½oz pistachio nuts, chopped 1 lemon, juice only 4 tbsp extra virgin olive oil ",north_african
"200g/7oz pistachios 600ml/20fl oz milk 75g/2½oz caster sugar 6 free-range egg yolks 300ml/10fl oz double cream 1–3 tsp rose water candied rose petals, to serve ",north_african
"2 large ripe vine tomatoes, stalks cut out, cross cut into the bottom of each 1 level tsp cumin seeds 3 tbsp olive oil 2 handfuls fresh spinach leaves, washed, roughly chopped 1 garlic clove, peeled, finely chopped ¼ lemon, juice only salt and freshly ground black pepper 100g/3½oz fresh uncooked prawns, cleaned, heads, shells and tails removed, de-veined, roughly chopped crusty bread, to serve (optional) ",north_african
"2 cinnamon sticks, broken into several pieces 1 tbsp cloves 1 tbsp coriander seeds 1 tbsp cumin seeds 1 tbsp fenugreek 1 tbsp fennel seeds 1 tbsp mustard seeds 25g/1¾oz dried Damascan rose petals (available at spice shops and Middle Eastern food stores) ",north_african
"2 tsp cumin seeds 2 tsp ground caraway seeds 1 red chilli, roughly chopped 1 tbsp sweet smoked paprika 2 garlic cloves 2 tbsp tomato purée 3 tbsp red wine vinegar 1 large chicken, spatchcocked 2 tbsp olive oil salt and pepper 125g/4½oz bulgur wheat 400ml/14fl oz beetroot juice 1 tbsp olive oil 150g/5½oz halloumi, sliced 100g/3½oz cooked beetroot, chopped 100g/3½oz shelled pistachios, roughly chopped small bunch mint, chopped small bunch coriander, chopped 1 pomegranate, seeds only 1 lemon, zest and juice 50ml/2fl oz olive oil ",north_african
