recipe,type
"150g/5½oz plain flour 1 tsp baking powder 2 tbsp caster sugar pinch of salt 4 large free-range eggs 600ml/20fl oz milk 25g/1oz butter, melted icing sugar, for dusting fruit compôte crème fraîche or sour cream  ",nordic
"300g/10½oz split peas  pinch bicarbonate of soda 1 small ham hock 2 onions, one left whole with 2 cloves stuck in and one finely chopped 1 blade of mace 2 bay leaves 1 carrot, finely chopped 1 tbsp hot mustard 100ml/3½fl oz double cream (optional) salt and freshly ground black pepper ",nordic
"420g/15oz strong white flour, plus extra for dusting 7g salt (approximately a teaspoon) 10g/⅓oz fast-action yeast 25g/1oz unsalted butter, softened and cut into cubes, plus extra for greasing 35g/1¼oz caster sugar 2 medium free-range eggs 100ml/3½fl oz full-fat milk, warmed 75g/2½oz dried cherries 75g/2½oz mixed peel 75g/2½oz sultanas 75g/2½oz dried apricots, chopped 100g/3½oz pecans, chopped 60g/2¼oz caster sugar 3 tsp ground cinnamon 2 tbsp apricot jam  1 lemon, juice only 100g/3½oz icing sugar ",nordic
"75g/2½oz yellow mustard seeds 40g/1½oz brown mustard seeds 50ml/2fl oz white wine vinegar 25g/1oz honey 110ml/3¾fl oz light ale 2 free-range egg yolks 2 tsp white wine vinegar 1 tsp Dijon mustard 300ml/10½fl oz vegetable oil  6 tbsp chopped fresh dill 250g/9oz caster sugar 250g/9oz fine salt 50g/1¾oz fresh dill, chopped  ½ side of salmon (about 500g/1lb 2oz), filleted, skin removed, pin boned 4 heads Little Gem lettuce, leaves separated 1 free-range egg yolk 1 tsp English mustard 2 tsp clear honey 2 tbsp cider vinegar 150ml/5fl oz vegetable or sunflower oil 1 banana shallot, finely chopped 1 garlic clove, finely chopped 1 tbsp finely chopped flatleaf parsley 1 tbsp finely chopped mint 1 tbsp finely chopped basil 1 tbsp finely chopped thyme wholemeal bread  butter ",nordic
"100ml/3½fl oz water 2 limes, juice only 100ml/3½fl oz white wine 1 tsp white peppercorns 2 bay leaves 1 tbsp white wine vinegar 1 tsp salt 4 x 100g/3½oz herring fillets  250g/9oz cooked new potatoes 100ml/3½fl oz mayonnaise  1 tbsp chopped fresh dill 1 tbsp wholegrain mustard ½ lemon, juice only ½ tsp curry paste salt and freshly ground black pepper few sprigs fresh dill lemon wedges ",nordic
"2 large cooked beetroot, quartered 2 good handfuls fresh dill, roughly chopped 6 tbsp sea salt  2 tbsp freshly ground black pepper 140g/5oz caster sugar 1 tbsp runny honey 1 tbsp wholegrain mustard 2 x 200g/7oz salmon fillets Swedish crisp bread, to serve watercress sprigs, to serve fresh dill sprigs, to serve 2 tbsp caster sugar 2 tbsp cider vinegar ½ tsp sea salt ½ small shallot, very thinly sliced ½ cucumber, thinly sliced 200g/7oz crème fraîche good handful fresh dill, finely chopped ½ lemon, juice only freshly ground black pepper ",nordic
"60g/2¼oz butter 1 large onion, thinly sliced 1 red cabbage (around 750g–1kg/1lb 10oz–2lb 4oz), thinly shredded 1 large Bramley apple, peeled, cored and chopped 50ml/2fl oz red wine vinegar 60g/2¼oz blueberries 2 tbsp dark brown sugar 4 tbsp bramble jelly or jam (or redcurrant jelly) 3 cloves 5cm/2in length cinnamon stick freshly ground black pepper 1½ tsp salt  16 small best-end lamb chops 100g/3½oz plain flour 2 free-range eggs, beaten 100g/3½oz fresh white breadcrumbs 60g/2¼oz butter, for frying 2 tbsp vegetable or rapeseed oil  salt and pepper new potatoes, boiled  knob of butter 1 tsp freshly chopped parsley ",nordic
"9-10 medium-sized potatoes  2 tbsp butter  1 onion, finely sliced  about 20 tinned sprat fillets   salt and pepper  150ml/5fl oz single cream  150ml/5fl oz whole milk  1 tbsp dried breadcrumbs ",nordic
"1 tbsp vegetable oil or lard 300g/10½oz pork, preferably pork shoulder, diced 300g/10½oz stewing beef, diced 300g/10½oz lamb or mutton, preferably shoulder or neck fillet, diced 2 onions, sliced 2 carrots, cut into chunks (optional) 2 tsp black peppercorns 1 tsp allspice berries (optional) 3 bay leaves (optional) salt and freshly ground pepper mashed potato lingonberry jam ",nordic
"900g/2lb potatoes (about 10 medium-sized potatoes) 200g/7oz plain flour 1 free-range egg and 2 egg yolks 1 tbsp sea salt knob of butter 400g/14oz button mushrooms, finely chopped 2 shallots, finely chopped 1 garlic clove, finely chopped 1 sprig of thyme, leaves only, finely chopped pinch allspice salt and freshly ground black pepper  50g/1¾oz butter, plus extra for frying 100g/3½oz frozen lingonberries, defrosted  2 tsp sugar 400g/14oz wild mushrooms ",nordic
"40g/1½oz butter 285ml/9½fl oz milk 1 x 7g sachet fast-acting yeast 85g/3oz caster sugar 425g/15oz plain flour 1½ tsp ground cardamom oil, for greasing 200g/7oz raspberries 200g/7oz granulated sugar 100ml/3½fl oz milk 150ml/5fl oz double cream 2 free-range egg yolks 55g/2oz caster sugar 1 tsp vanilla extract 1 tbsp cornflour 1 free-range egg, lightly beaten, for glazing 6 tbsp icing sugar 55g/2oz desiccated coconut  ",nordic
"30g/1oz unsalted butter ½ tsp caraway seeds 30g/1oz plain flour 500ml/17fl oz full-fat milk 100g/3½oz cream cheese salt and freshly ground black pepper ½ onion, peeled, finely chopped 130g/4½oz tinned tuna, drained, flaked 160g/5½oz pasta (such as macaroni, penne or fusilli), cooked according to packet instructions, drained 60-80g dried breadcrumbs 6-8 anchovy fillets, cut in half lengthways ",nordic
"3 tbsp sea salt 4 sardines, filleted  600ml/21fl oz cider vinegar  300ml/10fl oz cider  100g/3½oz caster sugar  4 juniper berries  1 tsp pink peppercorns  1 bay leaf  2 sprigs fresh thyme  1 onion, thinly sliced vegetable oil, for deep-frying 150g/5½oz plain flour 300ml bottle beer 6 small anchovies 12 lovage leaves salt and freshly ground black pepper 1 bunch fresh dill, finely chopped  2 tbsp mayonnaise 1 tsp wholegrain mustard  1 tbsp American mustard  ½ lemon, juice only 1 pinch sugar  salt and freshly ground black pepper 500g/1lb 2oz Pink Fir apple potatoes pinch dill seeds 2 tbsp olive oil 1 white cabbage, shredded 1 cucumber, thinly sliced 1 tsp toasted cumin seeds salt and freshly ground black pepper   ",nordic
"600ml/20fl oz milk 1 vanilla pod, split in half lengthways and seeded scraped out 6 free-range egg yolks 100g/3½oz caster sugar 50g/1¾oz cornflour 50g/1¾oz unsalted butter 200g/7oz raspberries 175g/6oz jam sugar 4 large free-range eggs 150g/5½oz caster sugar 75g/2½oz cornflour 75g/2½oz plain flour 1 tsp baking powder 50g/1¾oz butter, melted 25g/1oz pink ready-to-roll icing icing sugar, for dusting 750ml/1⅓ pints double cream  50g/1¾oz dark chocolate (36% cocoa solids), melted 400g/14oz ground almonds 150g/5½oz caster sugar 250g/9oz icing sugar, plus extra for dusting 2 medium free-range eggs, beaten 1 tsp almond extract green food colouring paste (do not use liquid food colouring) ",nordic
"650g/1lb 7oz potatoes, cut into1cm/½in dice 1 large carrot, cut into ½cm/¼in cubes 1 tbsp vegetable oil  150g/5½oz smoked bacon lardons 150g/5½oz leftover roast meat, such as  pork, beef and lamb, diced 15g/½oz butter 2 onions, diced 150g/5½oz mushrooms, diced large sprig of thyme, leaves only 100g/3½oz smoked sausages, diced 30g/1oz dried mushrooms, soaked in 150ml/5fl oz just boiled water 6 free-range egg yolks few tablespoons chopped marjarom or oregano lingonberry jam few slices of pickled beetroot ",nordic
"175ml full-fat milk 175ml water 2 tbsp dark soft brown sugar 1 x 7g sachet of fast-action dried yeast 250g rye flour 200g strong white flour, plus extra for dusting 1 tbsp fine sea salt 2 tsp caraway seeds sunflower oil, for greasing ",nordic
"300g/10½oz wholemeal rye flour, plus extra for dusting 1 tsp salt ½ tsp baking powder 1 heaped tsp anise seeds or fennel seeds 1 tsp honey 30g/1oz butter, softened 1 free-range egg white mixture of seeds, such as caraway, anise, poppy, sesame ",nordic
"50g/1¾oz caster sugar 75g/2½oz salt 1 tbsp pink peppercorns 1 tbsp coriander seeds 2 large bunches fresh dill, leaves chopped 1 large salmon fillet, skin and and pin bones removed 2 tsp Dijon mustard 1 tsp juniper berries 10g brown mustard seeds 75g/2½oz yellow mustard seeds pinch dark soft brown sugar 50ml/2fl oz red wine vinegar sea salt and freshly ground black pepper 75ml/2½fl oz champagne pumpernickel bread, to serve (optional) ",nordic
"2 x 1kg/2lb 4oz centre-cut pieces salmon, skin on, pin-bones removed 400g/14oz coarse sea salt  100g/3½oz light muscovado sugar 150g/5¼oz granulated sugar 1 tbsp dill seeds 1 tbsp coriander seeds  1 tbsp cracked black pepper 2 limes, zest only 100ml/3½fl oz gin 150g/5¼oz fresh dill, roughly chopped 1 lemon, cut into wedges rye bread lightly dressed green salad ",nordic
"200g/7oz caster sugar 1 tbsp water 200ml/7fl oz whipping cream 3 Granny Smith apples, peeled, cored, chopped into small cubes 3/4 tsp sea salt 250ml/8½fl oz full-fat milk 25g/1oz butter 500g/1lb strong white flour 1tsp salt 1 x 7g/¼oz sachet fast-action dried yeast vegetable oil, for greasing ",nordic
"150ml/5fl oz lukewarm water 1 tsp sugar 7g/¼oz sachet fast-action dried yeast 450g/1lb plain flour, plus extra for dusting 170ml/6fl oz  milk 2 tsp salt 35g/1¼oz butter, melted 1 free-range egg 1 tbsp oil, for greasing the tray 1 egg, beaten, for glazing and sealing 2 tbsp olive oil 1 onion, finely chopped 2 garlic cloves, crushed 200g/7 oz boiled, smoked ham, chopped 100g/3½ oz Jarlsberg cheese, grated 1 tbsp finely chopped parsley 1 tsp caraway seeds flaked sea salt freshly ground black pepper ",nordic
"½ savoy cabbage 1 tbsp vegetable oil salt 2 tbsp white wine vinegar 2 tbsp caster sugar 2 red onions, cut into wedges  500ml/18fl oz light chicken stock 2 tbsp butter 1 banana shallot, finely chopped  2 garlic cloves, finely chopped 200g/7oz pearl barley  100ml/3½fl oz dry white wine  125g/4½oz cream cheese  90g/3¼oz Västerbotten or Parmesan cheese, grated  2 tbsp fennel seeds  1 tbsp dill seeds 1 tbsp coriander seeds 400g/14oz sushi-grade salmon fillet 2 large beetroot, peeled  ½ fennel bulb 5cm/2in piece fresh horseradish, grated 200ml/7fl oz buttermilk (optional)  ",nordic
"400ml/14fl oz milk 40g/1½oz honey 40g/1½oz butter 25g/1oz fresh yeast, or 7g instant yeast 450g/1lb flour 2 tsp salt 1 tbsp vegetable oil 150g/5½oz chanterelles 50g/1¾oz sugar 50ml/2fl oz white wine vinegar  1 cinnamon stick 5 black peppercorns 1 shallot, roughly sliced  75g/2½oz frozen lingonberries 25g/1oz caster sugar  100g/3½oz unsalted butter, at room temperature 5 allspice peppercorns, ground 1 tbsp sherry vinegar  pinch salt 200-250g/7-9oz sirloin steak (preferably grass-fed beef), cut into ½cm/¼in cubes 1 tbsp cold pressed rapeseed oil (or olive oil) 1 tbsp chopped shallot ½ tbsp Dijon mustard ½ tsp salt 2 tbsp chopped curly parsley 1 tbsp freshly grated horseradish ",nordic
"50g/1¾oz plain white flour, plus extra for dusting 150g/5½oz wholegrain spelt flour 1 tsp sea salt 75g/2½oz butter, chopped, plus extra for greasing 75g/2½oz quark or fromage frais  250g/9oz baby spinach leaves 1 shallot, finely chopped knob of butter  6 free-range eggs 200g/7oz crème fraîche 200g/7oz cottage cheese 1 tsp ground nutmeg 1 tsp sea salt, plus extra to taste 1 tsp freshly ground black pepper, plus extra to taste 150g/5½oz smoked salmon slices, cut into 1cm/½in squares 400g/14oz kale, trimmed, washed, shredded and excess water squeezed out 2 pomegranates, seeds removed  1 lime, juice only 3 tbsp rapeseed oil ",nordic
"2 free-range egg yolks 1 tbsp Dijon mustard 1 tsp lemon juice 250ml/9fl oz flavourless oil sea salt and freshly ground black pepper  250ml/9fl oz white wine vinegar 2 cucumbers, thinly sliced  1 tbsp caster sugar pinch sea salt 1 carrot, peeled and finely chopped  ½ shallot, grated 120g/4½oz celery, finely chopped ½ cucumber, deseeded and finely chopped 50ml/2fl oz homemade mayonnaise, from above 2 tsp curry powder  ½ tsp ground turmeric ½ tsp mustard powder 2 tsp lemon juice pinch caster sugar salt and freshly ground pepper 400g/14oz cod fillet or another white fish, finely chopped 1 small onion, grated 2 free-range eggs, lightly beaten ½ tsp grated nutmeg 3 tbsp finely chopped fresh dill 1 tbsp finely chopped tarragon leaves  2 tbsp capers, finely chopped 5 tbsp plain flour 1 tsp salt 1 tsp freshly ground black pepper 100ml/3½fl oz sparkling water 2–3 tbsp salted butter  4 slices rye bread 80g/2½oz salted butter 4 sprigs of fresh dill ",nordic
"100g/3½oz plain flour 1 tsp cinnamon ½ tsp ground ginger ½ tsp freshly grated nutmeg ½ tsp baking powder ½ tsp salt 50g/2oz soft brown muscovado sugar 1 tbsp whole milk 75g/2½oz butter 2 tbsp candied peel, finely chopped  flaked almonds, to garnish (optional) ",nordic
"250ml/9fl oz milk 1 tsp saffron threads 50g/1¾oz unsalted butter 500g/1lb 2oz strong white bread flour, plus extra for dusting 1 tsp salt 1 x 7g sachet instant yeast 50g/1¾oz caster sugar 100g/3½oz quark cheese vegetable oil, for greasing (optional) 1 free-range egg yolk, for glazing 24 raisins ",nordic
"1 bottle red wine (quality doesn’t matter)  1-2 sticks cinnamon  5g dried root ginger  5g dried Seville orange peel (or other orange if you can't get Seville)  7 green cardamom pods  15-16 whole cloves  80g/3oz sugar  flaked almonds  raisins  splash of either vodka, aquavit, rum or cognac (optional) ",nordic
"1 tsp saffron threads 250ml/9fl oz tepid milk 500g/1lb 2oz strong white flour 7g/¼oz sachet of fast-action dried yeast 1 tsp salt 50g/1¾oz golden caster sugar 50g/1¾oz unsalted butter, melted 100g/3½oz Quark cheese 1 free-range egg yolk handful of raisins ",nordic
"1 tbsp olive oil 1 onion, finely chopped 1 garlic clove, finely chopped 600g/1lb 5oz wild boar or pork, minced 4 anchovy fillets, finely chopped 100g/3½oz breadcrumbs 1 free-range egg 50ml/2fl oz milk or single cream ½ tsp allspice ¼ tsp nutmeg salt and freshly ground pepper 25g/1oz butter 25g/1oz flour 100ml/3½fl oz white wine 500ml/18fl oz beef stock 2 tbsp single cream 1 tbsp lingonberry jam  or redcurrant jelly few sprigs of dill, finely chopped  ",nordic
"200g/7oz Maris Piper potatoes, peeled and cut into chunks 1 free-range egg, beaten 2 tbsp butter 1 small red onion, finely chopped 250g/9oz beef mince 250g/9oz pork mince ½ tsp ground allspice small bunch flatleaf parsley, finely chopped 2 tbsp single cream salt and freshly ground black pepper 3 tbsp unsalted butter 1 small red onion, finely chopped 1 carrot, peeled and finely chopped 400ml/14fl oz beef stock 1 tbsp plain flour pinch ground allspice 150ml/5fl oz single cream 1 tbsp soy sauce 2 tsp redcurrant jelly 700g/1lb 9oz Maris Piper potatoes, peeled and cut into chunks 25g/1oz butter 50ml/2fl oz whole milk 2 tbsp freshly chopped dill, plus a few sprigs to serve ",nordic
"2 tbsp olive oil 1 Spanish onion, finely chopped   ½ tsp dried oregano ¼ tsp celery salt pinch cumin 500g/1lb 2oz pork mince 1 free-range egg yolk 1 tbsp plain flour, plus extra for dusting 1 tsp mustard  salt and freshly ground black pepper 1 tbsp olive oil 1 clove fresh garlic, crushed to a paste in a pestle and mortar 250ml/9fl oz passata (pressed and seived tomatoes) salt and freshly ground black pepper hard cheese (such as gruyère, emmental or cheddar), grated ",nordic
"2 large trout fillets, sea trout or arctic char, pin-boned 200ml/7fl oz whole milk 2 tbsp ground almonds 2 tbsp flour, seasoned with salt and pepper 1 tbsp olive oil 50g/1¾oz butter 2 tbsp flaked almonds 2 tbsp finely chopped parsley 1 tbsp chopped capers 1 lemon, juice and zest ",nordic
"475g/1lb 1oz strong white flour, plus extra for dusting 25g/1oz cornflour 7g sachet fast-action yeast 50g/1¾oz caster sugar ½ tsp ground cardamom ½ tsp salt  300–325ml/10–11fl oz soya milk (or almond milk) 75g/2½oz dairy-free margarine 75g/2½oz dairy-free margarine 3 tbsp golden syrup 3 tbsp soft light brown sugar pinch of salt 2 tbsp soft light brown sugar 2 tsp ground cinnamon 50g/1¾oz pecans, toasted and chopped  200g/7oz spiced apple butter, apple purée or puréed medjool dates ",nordic
"50ml/2fl oz distilled vinegar 1 tbsp caster sugar pinch flaked sea salt 1 tsp mustard seeds 50g/1¾oz dill 2 Lebanese cucumbers, finely sliced using a mandolin 1 fennel bulb, finely sliced using a mandolin 2 shallots, finely chopped 50ml/2fl oz white wine vinegar salt 1 Arctic char fillet extra virgin olive oil, for drizzling 150g/5½oz small Scottish girolles, washed in cold water and dried on kitchen paper few chives, finely chopped 150g/5½oz  cooked prawns, peeled dill, to garnish flaked sea salt ",nordic
