,Ingredients,Cuisine
12,sweet potatoes peeled cut chunks milk mature cheddar grated rapeseed oil onions halved lean beef mince fat smoked paprika extra sprinkling ground cumin ground coriander mild chilli powder vegetable bouillon powder blackeyed beans tomatoes green pepper diced sweetcorn water broccoli salad,1
13,ribeye steak approx olive oil garlic cloves crushed whole green peppers hot dog buns smoked cheddar yellow mustard used french crispy onions,1
14,butter onion corn cobs sugar single cream grated cheddar mozzarella,1
15,selfraising flour baking powder golden caster sugar eggs melted butter extra cooking milk vegetable oil cooking maple syrup toppings choice cooked bacon chocolate chips blueberries peanut butter jam,1
16,light brown soft sugar smoked paprika english mustard powder celery salt garlic granules racks baby back pork ribs yellow mustard used french classic cider vinegar treacle light brown soft sugar worcestershire sauce hot chilli sauce hot chilli powder,1
17,plain flour salted butter cubed cream cheese icing sugar salted butter maple syrup light brown soft sugar dark brown soft sugar eggs beaten vanilla extract pecans dark chocolate chips bar,1
18,onion olive oil soured cream mayonnaise raw vegetables,1
19,brisket boneless light muscovado sugar smoked paprika pinch chilli flakes garlic granules ground cumin dried chipotle chilli beef dripping neutral oil onion carrot garlic clove thyme sprig bay leaf star anise lemon zested good beef stock plain flour butter honey snipped chives soured cream cr fra che lemon juiced jacket potatoes buttered kale,1
20,racks baby back pork ribs cans cola toasted sesame seed tomato ketchup soft brown sugar soy sauce worcestershire sauce sweet chilli sauce paprika pot halffat soured cream salad cream bunch chive snipped spring onions,1
21,vegetable oil onion red peppers yellow peppers garlic cloves crushed minced beef x cans tomatoes chipotle smoky barbecue sauce cheese slices burger buns crispy onions iceberg lettuce,1
22,butter softened room temperature soft brown sugar vanilla extract plain flour fullfat milk,1
23,tbone steak garlic cloves bashed thyme olive oil butter,1
24,dried sour cherries bourbon cinnamon maple syrup rashers smoked streaky bacon favourite brownie mixture see goes well bestever brownies recipe little cocoa powder dusting,1
25,olive oil garlic cloves crushed smoked paprika pork loin steaks quartered x cans cannellini beans drained rinsed passata chipotle paste dark soft brown sugar ham hock shreds slices crusty white bread handful flatleaf parsley,1
26,olive oil ground cumin bay leaf garlic cloves crushed shallots red chilli celery stick ripe tomatoes egg yolks oyster sauce slices bread made crumbs soaked little water goodquality beef mince lean slices gruy res burger buns warmed little butter goodquality mayonnaise squeezy mustard beef tomato cooked rashers streaky bacon little gem lettuce leaves guacamole see goes well gherkins,1
27,butter extra tin digestive biscuits made fine crumbs add extra biscuits like thicker base sugar granulated golden caster philadelphia cheese fullfat soft cheese golden caster sugar plain flour vanilla extract grated zest lemon lemon juice eggs yolk carton soured cream carton soured cream golden caster sugar lemon juice,1
28,boneless pork shoulder skin removed olive oil spanish paprika piment n mustard powder garlic salt onion salt liquid smoke see tip brioche buns see goes well tangy cabbage slaw homemade chipotle molasses bbq sauce see recipes goes well sweetandsour pickled cucumbers jar,1
29,butter softened peanut butter light brown sugar golden caster sugar egg vanilla extract plain flour peanuts bicarbonate soda heaped raspberry jam,1
30,baby gem lettuces leaves separated avocado stoned plum tomatoes rashers cooked crispy bacon cooked turkey breast chicken cut bitesized pieces hardboiled eggs chunks buttermilk light mayonnaise white wine vinegar dill garlic clove crushed,1
31,malted milk biscuits squares milk chocolate marshmallows vegetarian brand required,1
32,big potato cut thin chips olive oil cajun seasoning heaped mayonnaise chive dijon mustard slices white brown bread lightly toasted radishes baby avocado slices salt beef couple little gem lettuce leaves,1
33,skinless chicken breasts garlic cloves crushed paprika juice lemon olive oil corn cobs little gem lettuces quartered lengthways cucumber diced,1
34,fat sausages sweet chilli get onions red white one sweet chilli sauce tomato pur e hot dog buns,1
35,hob nobs butter melted x condensed milk used nestl egg yolks grated zest juice limes double cream icing sugar extra lime zest decorate,1
36,crispy chicken thighs see tip light mayonnaise juice lemon worcestershire sauce parmesan grated extra garlic clove crushed cro ton cos lettuce little gem ripped pieces,1
37,racks pork spare ribs single pork spare ribs onion diced olive oil garlic clove crushed smoked paprika mild chilli powder tomato passata tomato pur e cider white red wine vinegar dark muscovado sugar new potatoes skin olive oil rosemary sprigs pinch mixed dried herbs white red wine vinegar,1
38,salted pretzel boneless skinless chicken thighs flour dusting eggs beaten fork olive oil wholegrain mustard honey white wine vinegar green veg salad potatoes,1
39,dark chocolate broken chunks milk chocolate broken chunks salted butter soft light brown sugar eggs plain flour cocoa powder raspberries,1
40,slices pancetta sunflower oil butter cooking blueberries selfraising flour baking powder caster sugar eggs maple syrup extra milk,1
41,butter softened caster sugar egg vanilla extract selfraising flour custard powder white chocolate chunks,1
42,white cabbage shredded onion celery sticks granny smith apples quartered cored white wine vinegar pot fatfree greek yogurt cooked chicken breasts plain flour egg beaten garlic herb dried breadcrumb frozen corn cobs barbecue sauce,1
43,chipolatas green peppers onion cut wedges garlic cloves unpeeled readymade cheese sauce hot dog buns used submarine rolls,1
44,plain flour onion cut slices rings separated egg whites olive oil greasing cajun seasoning breadcrumb,1
45,garlic cloves crushed olive oil cider vinegar paprika worcestershire sauce celery salt pepper sauce used franks hot sauce honey chicken wing halved joint,1
46,butter peanut cookies gelatine leaves tub ricotta smooth peanut butter golden syrup milk pot double cream soft brown sugar bar peanut brittle crushed,1
47,spare ribs cut individual ribs barbecue spice mix tomato ketchup chilli ketchup soy sauce runny honey teriyaki sauce bourbon whiskey,1
48,onion leek green white parts separated carrots pints pints lowsodium chicken vegetable stock potato diced frozen sweetcorn white crabmeat drained light cr fra che chives,1
49,butter room temperature extra pan light brown sugar egg yolks vanilla extract plain flour baking powder chocolate chips cookie fillings pretzels nuts pieces fudge toffee marshmallows vanilla ice cream,1
50,cornflour juice oranges zest caster sugar ripe peaches blueberry selfraising flour butter cut pieces melted light muscovado sugar ground cinnamon milk,1
51,butter melted extra tin fine polenta plain flour baking powder sugar buttermilk semiskimmed milk squeeze lemon juice eggs beaten bacon lardons onion celery sticks garlic clove crushed dried apricots halved pecans ground nutmeg pork mince thyme leaves dried cranberries,1
52,chicken drumsticks barbecue sauce carrot grated white cabbage shredded red onion salad cream crusty bread,1
53,skinless boneless chicken breast fillets paprika dried onion flakes cayenne pepper dried thyme sunflower oil tub guacamole,1
54,crunchy peanut butter bar dark chocolate broken pieces soft light brown sugar eggs selfraising flour,1
55,sweetcorn black beans drained rinsed avocado cut chunks cherry tomatoes halved spring onions feta cheese crumbled lime wedges ground cumin chipotle tabasco sauce use regular tabasco cant find juice zest limes sherry vinegar extravirgin olive oil,1
56,butter hot sauce tabasco sauce crystal white wine vinegar chicken wings celery salt flour dusting sunflower oil frying celery sticks buttermilk soured cream blue cheese crumbled garlic clove crushed sweet paprika,1
57,x packs pork spare ribs bunch spring onions green stems scotch bonnet chilli seeded garlic cloves appleton rum demerara sugar dark soy sauce clear honey dijon mustard ground allspice,1
58,butter onion corn cobs pinch sugar good grating nutmeg,1
59,chunk butternut squash pumpkin vegetable sunflower oil light muscovado sugar tub mascarpone freshly grated nutmeg heaped ground cinnamon heaped ground ginger eggs maple syrup vanilla extract x packs chilled dessert pastry plain flour rolling milk brushing handful pecan halves icing sugar whipped cream,1
60,goodquality pork sausages sunflower oil onions yellow black mustard seeds maple syrup partbaked mini baguettes cut french stick pieces dijon mustard pinch brown muscovado sugar wine cider vinegar,1
61,skinless boneless chicken breasts rashers bacon burger buns half lettuce tomato red onion tomato ketchup brown sauce splash chilli sauce clear honey garlic cloves crushed,1
62,olive oil skinless chicken breasts cut chunky pieces onion celery sticks bay leaves plain flour cajun spice mix paprika ground cumin ground chilli dried basil chicken stock made stock cubes green peppers deseeded cut chunks thickly ham trimmed fat diced spring onions parsley,1
63,dots butter shortcrust pastry bought homemade little flour dusting dried white breadcrumb good cumberland sausage smoked bacon lardon ground mace ground pepper dried sage egg beaten fork pinches sesame seeds piccalilli homemade bought,2
64,plain flour eggs milk dijon mustard vegetable oil cumberland sausages sage leaves rosemary sprigs,2
65,celery sticks pieces onion really big carrots halved lengthways chunkily bay leaves thyme sprigs vegetable oil butter plain flour tomato pur e worcestershire sauce beef stock cubes crumbled feather blade beef braising cut cut chunks potato mature cheddar parmesan grated,2
66,allbutter puff pastry selfraising flour extra dusting rounded morello cherry jam plain sponge madeira cake butter softened ground almond golden caster sugar eggs almond extract flaked almond icing sugar sieved decorate,2
67,raspberry extra blackberry extra redcurrant extra strawberry hulled quartered golden caster sugar bit extra brioche loaf clotted cream,2
68,black peppercorn english mustard powder dried thyme celery seeds olive oil topside joint beef plain flour beef stock cubes caramelised onion chutney marmalade marmite,2
69,goodquality white bread garlic cloves zest lemon thyme leaf bunch parsley anchovy fillets carrots cut chunks onions cut chunks bay leaves bunch rosemary olive oil leg lamb garlic cloves thickly whole bulb halved plain flour white wine splash lamb stock,2
70,milk eggs plain flour sunflower vegetable oil,2
71,light digestive biscuit cornflake butter melted caster sugar egg egg yolks light condensed milk zest juice lemons zest juice oranges pot extrathick double cream fat greek yogurt icing sugar lemon orange zest decorate,2
72,onion smoked bacon lardons olive oil lean stewing beef cubed plain flour parsnips cubed brown ale beef stock cranberry redcurrant jelly thyme sprigs greens butter greasing selfraising flour extra dusting english mustard powder shredded suet,2
73,langoustine dublin bay prawn tails vegetable sunflower oil frying plain flour cornflour beer sparkling water lemon wedges chips mayonnaise gherkin cornichons caper rinsed lemon juice parsley tarragon,2
74,golden syrup zest lemon juice lemon breadcrumb butter softened golden caster sugar eggs selfraising flour milk,2
75,eggs goodquality cumberland lincolnshire sausages skinned curly parsley worcestershire sauce english mustard powder ground mace rashers smoked streaky bacon plain flour dried breadcrumbs pints sunflower vegetable oil frying scraps bread testing oil,2
76,butter pears cored halved rhubarb cut chunks soft light brown sugar ground cinnamon ground cloves vanilla ice cream double cream roasted hazelnut cold butter diced selfraising flour ground cinnamon demerara sugar,2
77,butter softened bunch fresh thyme lemon thyme leaves picked stalks reserved extra garlic cloves mashed left whole squashed lemons halved chicken carrots onion bay leaves plain flour chicken stock splash soy sauce,2
78,leftover dried fruit like raisins sultanas currants eating apples pears cored grated demerara sugar little extra decorate leftover marzipan grated ground cloves ground cinnamon block puff pastry little flour rolling egg beaten,2
79,lambs kidneys halved rapeseed oil onions bay leaves thyme sprigs lean stewing steak cut chunks red wine tomato pur e english mustard powder plain flour carrot flat mushrooms quartered halved parsley plain flour extra dusting thyme leaves cold frozen butter fat greek yogurt extravirgin olive oil,2
80,streaky steaks strips pork belly rind trimmed sunflower vegetable oil pork sausages try cumberland garlic sageflavoured lincolnshire varieties back bacon chops cannellini haricot butter mixed beans drained onion carrots thickly tomatoes bouquet garni tea bag chicken stock stock cube fine fresh white breadcrumbs garlic cloves,2
81,sunflower oil onion carrots lamb mince tomato pur e splash worcestershire sauce beef stock potatoes cut chunks butter milk,2
82,gammon ham hock split peas soaked overnight onions carrots bay leaves stick celery frozen peas crusty bread butter,2
83,vegetable oil skinless boneless chicken thighs rashers smoked streaky bacon cut pieces onion halved baby button mushrooms handful thyme sprigs plain flour chicken stock milk fresh puff pastry frozen defrosted egg beaten,2
84,skinless white fish fillet skinless smoked haddock fillet fullfat milk onion quartered cloves bay leaves eggs bunch parsley leaves butter plain flour pinch freshly grated nutmeg floury potato peeled cut evensized chunks cheddar grated,2
85,unsalted butter softened extra greasing caster sugar vanilla extract eggs selfraising flour extra dusting raspberry jam double cream whipped icing sugar dusting,2
86,good beef fillet preferably aberdeen angus around olive oil chestnut mushroom include wild ones like butter sprig fresh thyme fl dry white wine slices prosciutto puff pastry thawed frozen little flour dusting egg yolks beaten water,2
87,sunflower oil onion garlic cloves crushed knob ginger peeled granted curry powder minced beef lamb tomato frozen pea parsnip peeled chunks potato peeled chunks green chilli deseeded bunch coriander turmeric juice lemon butter,2
88,tub whipping cream caster sugar white wine zest juice lemon almond thins berries,2
89,dripping butter stewing lamb cut chunks lamb kidneys fat removed onions carrots peeled plain flour worcestershire sauce lamb chicken stock bay leaves potato peeled,2
90,ripe english pear peeled cubed golden granulated sugar blackberry plain flour unsalted butter cold cut pieces shelled pistachio demerara sugar ice cream,2
91,butter short grain pudding rice fullfat milk pot double cream tub clotted cream split vanilla pod golden caster sugar freshly grated nutmeg,2
92,floury potatoes cut chunks cumberland sausages butter onion plain flour beef stock apples peeled chunks milk,2
93,rashers goodquality lean unsmoked back bacon browncap portabello mushrooms cherry tomatoes vine room temperature olive oil slices granary wholegrain bread cut diagonal goodquality freerange pork sausages minimum pork freerange rich eggs room temperature drops cider vinegar x fl glasses freshlysqueezed orange juice orange cut wedges handful fresh blueberries,2
94,fresh cranberries frozen thawed icing sugar cranberry sauce jelly selfraising flour extra dusting dried suet caster sugar grated zest orange milk custard,2
95,diced butter selfraising flour salt bicarbonate soda caster sugar milk warmed room temperature splash extra crushed sugar cubes decorate,2
96,butternut squash weight red onion olive oil sprig fresh sage courgette balsamic sherry vinegar lancashire cheese,2
97,freshly squeezed orange juice freshly squeezed lime juice goodquality golden rum sugar syrup dash grenadine syrup dash angostura bitters ice cubes generous pinch freshly grated nutmeg thick slices orange garnish maraschino cherries garnish,3
98,drizzle oil onion garlic cloves crushed beef mince potato cut cubes turmeric tomato pur e thyme sprigs hot pepper sauce block shortcrust pastry egg beaten green salad,3
99,heaped jamaican jerk paste clear honey salmon fillets juice limes red cabbage core removed firm ripe mango skin removed red pepper spring onions angle bunch coriander leaves picked,3
100,chicken thighs bone lime halved hot sauce big bunch spring onions thumbsized piece ginger garlic cloves onion scotch bonnet chillies deseeded want less heat dried thyme thyme leaves lime juiced soy sauce vegetable oil brown sugar ground allspice basmati rice coconut milk bunch spring onions thyme sprigs garlic cloves ground allspice x cans kidney beans drained,3
101,onions diced sunflower oil ginger bunch coriander leaves stalks separated jerk seasoning thyme sprigs tomato red wine vinegar demerara sugar vegetable stock cubes crumbled sweet potato peeled cut chunks x cans black beans rinsed drained jar roasted red pepper cut thick slices,3
102,onion garlic cloves ginger vegetable oil scotch bonnet chillies handful curry leaves thyme sprigs mild curry powder mutton goat shoulder diced tomato lamb beef stock pinto kidney blackeyed beans juice lemon bunch coriander warmed roti jamaican flatbread rice,3
103,potatoes vegetable oil red onion grated carrot grated beef mince jerk seasoning used bart fresh pineapple used precut packet red chilli deseeded handful coriander juice lime lettuce burger buns,3
104,zest juice lime clear honey pinches ground cinnamon gratings whole nutmeg icing sugar sifted lowfat fromage frais butter fresh pineapple cut long wedges skin core removed,3
105,passion fruits banana mango peeled stoned orange juice ice cubes,3
106,jerk seasoning used bart olive oil juice lime skinless chicken breasts chunks yellow pepper cut cubes bag rocket leaves mango chunks diced red pepper deseeded diced bunch spring onions red chilli,3
107,olive oil red onion diced scotch bonnet chilli deseeded tomato x bottle levi roots love apple tomato sauce tomato sauce good splash tabasco allspice x bags tortilla chip jar jalapeno chilli x balls mozzarella torn handful coriander tub fresh guacamole x pot soured cream,3
108,sunflower oil bunch spring onions whites greens separated red pepper diced scotch bonnet chilli deseeded pounded paste garlic clove dried thyme curry powder allspice plum tomatoes vegetable stock cube kidney bean rinsed drained pinto bean rinsed drained blackeyed bean rinsed drained x cans coconut milk juice limes,3
109,limes juice grated zest halved serving skinned white fish fillets cod hoki lemons juice x packets fresh thyme need lot aroma white pepper dark rum vegetable oil onion cut thin rings handful fresh coriander garlic cloves beefsteak normal tomatoes dark muscovado sugar shake angostura bitters basmati rice boiled potatoes steamed vegetables,3
110,sweet potatoes olive oil fresh thyme leaves sprigs fresh thyme red scotch bonnet chilli seeded,3
111,ripe plantains skins must black butter demerara sugar freshly squeezed orange juice,3
112,olive oil jamaican jerk sauce boneless pork loin steaks total chicken stock cube creamed coconut block bunch salad onions x packets rizzazz pure basmati rice ready cooked rice vacuumpack red kidney beans drained,3
113,x packs pork spare ribs bunch spring onions green stems scotch bonnet chilli seeded garlic cloves appleton rum demerara sugar dark soy sauce clear honey dijon mustard ground allspice,3
114,pumpkin seeds ripe papaya ripe avocado bag trimmed washed watercress half fresh mint juice half lime olive oil,3
115,sea salt dark muscovado sugar piece boned shoulder pork trimmed rind leave fat jerk seasoning used bart mixed ground cinnamon pineapple juice treacle x cans black beans drained rinsed well lots soft flour tortillas per person depending size appetites big pot natural yogurt shredded lettuce bananas firm ripe peeled cut cubes red onion diced justripe avocados juice lemon juice limes red chillies deseeded diced coriander stalks leaves,3
116,raw peeled king prawn jamaican jerk paste black bean drained rinsed mango stoned peeled diced red onion cucumber bunch coriander leaves taco shells vegetable oil little gem lettuces shredded coconut milk zest juice lime pinches sugar,3
117,x racks pork ribs jerk seasoning pineapple juice dark soft brown sugar cider vinegar juice lime vegetable oil banana shallot green pepper deseeded diced fresh pineapple chunks diced brown sugar basmati rice cooked cooled bunch coriander,3
118,ground cinnamon cinnamon sticks black peppercorn dried thyme allspice berries cayenne pepper nutmeg grated,3
119,bunch spring onions thumbsized piece ginger garlic cloves red chilli seeds removed dont like hot handful coriander stalks leaves picked thyme leaf zest juice lime lime cut wedges ground allspice sunflower oil chicken drumsticks long grain rice kidney bean rinsed drained chicken stock ripe mango peeled stoned cut bitesized chunks mango chutney extra,3
120,sea bass head gutted piece ginger shaohsing rice wine cooked jasmine rice groundnut oil garlic cloves grated ginger fermented black beans rinsed crushed back spoon use black bean sauce instead shaohsing rice wine toasted sesame oil light soy sauce spring onions shredded handful coriander leaves picked,4
121,pork shoulder rice wine light soy sauce flavour dark colour generous thumbsize piece fresh root ginger garlic cloves red chilli deseeded vegetable oil bunch spring onions star anise fivespice powder cinnamon stick sugar type tomato pur e chicken stock ripe plums halved stoned,4
122,pork belly rind removed cut pieces dark soy sauce shaohsing rice wine vegetable oil garlic cloves thumbsized piece ginger cut matchsticks pinch chilli flakes chinese black vinegar available waitrose soft brown sugar vegetable stock toasted sesame seeds spring onions red chillies soaked rice wine vinegar hr drained steamed white rice,4
123,skinless chicken breasts cut chunks use thighs drumsticks cornflour onion diced rapeseed oil garlic clove crushed curry powder turmeric ground ginger pinch sugar chicken stock soy sauce handful frozen peas rice,4
124,sunflower vegetable oil frying soda water chilled selfraising flour cornflour skinless boneless chicken breasts cut chunks spring onions shredded red pepper deseeded chunks red chillies cut chunks halved deseeded pineapple chunks drained juice reserved star anise tamarind paste caster sugar rice wine vinegar chinese vinegar,4
125,nests thin vermicelli rice noodles light soy sauce oyster sauce mild curry powder sesame oil garlic clove red chilli deseeded dont like hot thumbsized piece ginger grated onion red pepper yellow pepper cut thin batons spring onions cut half lengthways batons raw king prawns egg beaten coriander leaves,4
126,long grain rice vegetable oil onion eggs beaten spring onions,4
127,chicken wings baking powder sichuan peppercorns chilli flakes shaoxing wine garlic ginger paste dark soy sauce light soy sauce sesame oil palm sugar peanuts chilli flakes,4
128,firm tofu cornflour sichuan black peppercorns mixture two ground powder sunflower vegetable oil red peppers broccoli head cut florets beansprouts lowsalt soy sauce sesame oil drizzling handful coriander leaves picked,4
129,vegetable oil oyster sauce mixed asian greens pak choi choy sum tatsoi,4
130,sesame oil orange zested juiced honey lowsalt soy sauce rice vinegar cornflour sesame seeds generous pinch chinese fivespice powder raw king prawns sunflower vegetable oil garlic clove spring onions longgrain rice cooked,4
131,groundnut oil piece ginger garlic cloves coarsely spring onion raw prawns shelled deveined tomato pur e chilli bean sauce chinese black vinegar cider vinegar golden caster sugar sesame oil handful coriander leaves spring onion,4
132,dried fresh egg noodles sesame oil boneless skinless chicken breasts cut fine shreds groundnut oil garlic cloves mangetout shredded prosciutto cooked ham shredded light soy sauce dark soy sauce shaohsing rice wine dry sherry freshly ground white pepper golden caster sugar spring onions light soy sauce shaoxing rice wine dry sherry sesame oil freshly ground white pepper,4
133,boneless skinless chicken breasts cut chunks egg white sesame oil cornflour groundnut oil water groundnut oil cashew nuts shaoxing rice wine dry sherry light soy sauce shredded spring onion garnish,4
134,sunflower vegetable oil eggs beaten garlic cloves crushed bunch spring onions chinese fivespice powder cooked longgrain rice frozen peas sesame oil lowsalt soy sauce fresh pineapple chunks pineapple,4
135,lean beef steak light soy sauce sesame oil shaoxing rice wine dry sherry cornflour groundnut oil red pepper cut chunky dice green pepper cut chunky dice oyster sauce spring onions shredded garnish,4
136,boneless skinless chicken thighs cut pieces dark soy sauce vegetable oil whole dried birdseye chillies sichuan peppercorn ground bunch spring onions cut pieces whole roasted peanut dark soy sauce shaohsing rice wine chinese black vinegar chicken stock caster sugar cornflour mixed water,4
137,x sea bass fillets skin scaled sunflower oil knob ginger peeled shredded matchsticks garlic cloves fat fresh red chillies deseeded shredded bunch spring onion shredded longways soy sauce,4
138,olive oil garlic cloves good thumbsize piece fresh root ginger peeled shredded bunch spring onions red chilli deseeded braising beef cut pieces used ox cheek plain flour well seasoned chinese fivespice powder star anise light muscovado sugar use whatever got chinese cooking wine dry sherry dark soy sauce beef stock used knorr touch taste steamed bok choi steamed basmati rice,4
139,thincut minute steak strips cornflour chinese fivespice powder vegetable oil red pepper red chilli spring onions green white parts separated garlic cloves crushed thumbsized piece ginger cut matchsticks rice wine vinegar white wine vinegar soy sauce sweet chilli sauce tomato ketchup cooked noodles prawn crackers,4
140,chicken wings reduced salt soy sauce dark soft brown sugar white wine vinegar half cucumber peeled fine ribbons,4
141,piece boned pork belly skin scored ask butcher thin end chinese fivespice powder soy sauce used kikkoman knob fresh root ginger grated thai sweet chilli sauce spring onion,4
142,sea bass white fish fillets green red chilli deseeded fresh root ginger green cabbage shredded sunflower oil sesame oil garlic cloves low salt soy sauce,4
143,vegetable oil garlic clove bag kale soy sauce oyster sauce,4
144,cooked turkey chicken cut strips hoisin sauce flour tortillas cucumber deseeded shredded spring onions trimmed shredded good handful watercress,4
145,carrot trimmed leek trimmed outer leaves removed celeriac kohlrabi peeled celery trimmed red onion red yellow pepper cored deseeded fresh red chilli deseeded knob fresh root ginger garlic cloves bunch coriander leaves picked bunch flatleaf parsley leaves picked olive oil soy sauce sesame oil mung beansprout mixed bean sprouts sesame seed lightly toasted spring roll wrappers square egg white lightly beaten groundnut vegetable oil deep frying draining juices vegetables see step soy sauce sweet chilli sauce sesame oil rice wine vinegar,4
146,skinless boneless chicken breasts total weight soy sauce sesame oil groundnut sunflower oil deep frying extra stirfrying tempura batter see red pepper cored deseeded carrot diagonal garlic cloves fresh root ginger soy sauce white wine vinegar sherry light soft brown sugar cornflour,4
147,mugful american long grain rice cupful frozen peas sunflower oil back bacon rashers red pepper garlic cloves eggs heaped chinese fivespice powder,4
148,vermicelli rice noodle soy sauce fish sauce oyster sauce sunflower oil spring onions garlic cloves deseeded red chilli shiitake chestnut mushrooms broccoli florets heads pak choi,4
149,minced pork peeled prawn thawed frozen spring onions fat garlic cloves crushed grated root ginger pur e oyster sauce sesame oil water chestnuts drained wonton wrappers square thawed frozen lettuce leaves baking parchment steaming tbp soy sauce dry sherry grated fresh root ginger pur e shreds spring onion sesame seeds garnish,4
150,basmati rice longgrain rice frozen pea sunflower oil egg beaten diced chorizo bacon ham garlic clove spring onions angle red pepper deseeded good pinch five spice powder soy sauce beansprout peeled prawn,4
151,chicken thighs drumsticks skin spring onions shredded finish groundnut oil garlic cloves fingerlength piece fresh root ginger grated shaohsing rice wine dry sherry light soy sauce clear honey five spice powder,4
152,bananas peeled quartered light muscovado sugar butter double cream sesame seeds toasted goodquality vanilla ice cream,4
153,pork loin steak cut slices hoisin sauce light soy sauce dash thinstemmed broccoli sunflower oil garlic cloves ginger shredded bunch spring onion halved lengthways bok choi halved lengthways rice noodles,4
154,lean pork mince soy sauce cornflour chinese fivespice powder water chestnut drained half half chicken stock hoisin sauce thumbsized piece ginger shredded carrots shaved strips potato peeler chinese leaves thick part leaves shredded beansprout bunch spring onions cut lengths tops,4
155,duck legs fivespice powder rice vinegar soy sauce big oranges segmented juice reserved x bag watercress bag radish chicory leaves separated bunch spring onion diagonally,4
156,nests egg noodles cornflour soy sauce honey sunflower oil pork tenderloin cut bitesized pieces thumbsized piece ginger garlic cloves green pepper deseeded mange tout sesame seed,4
157,lime juice chilli bean paste chilli sauce oyster sauce soy sauce vegetable oil pork fillet cut thin slices garlic cloves red onion cut chunky pieces green bean halved steamed rice noodle,4
158,vegetable oil garlic cloves minced heads bok choi split half lengthways baby bok choi oyster sauce light soy sauce long red chilli deseeded,4
159,sunflower oil ginger garlic peeled cooked prawn bunch spring onions whites greens separated eggs beaten cooked rice uncooked rice wine dry sherry light soy sauce,4
160,ducks caster sugar star anise seeds piece ginger bunch spring onions malt syrup maltose available chinese supermarkets red wine vinegar ducks caster sugar star anise seeds piece ginger bunch spring onions malt syrup maltose available chinese supermarkets red wine vinegar,4
161,vegetable sunflower oil beef shin brisket cut chunks onions ginger garlic cloves bunch coriander chinese fivespice powder whole star anise black peppercorn dark brown muscovado sugar light soy sauce dark soy sauce tomato pur e beef stock thumbsized chunk ginger shredded matchsticks vegetable sunflower oil cooked jasmine rice,4
162,cornflour light soy sauce raw prawns frozen fine butterflied see tip chinese rice vinegar heaped tomato pur e caster sugar sunflower groundnut oil unsalted roasted peanuts whole dried chillies x cans water chestnuts drained thumbsized piece ginger grated garlic cloves,4
163,cooked rice noodles chiller cabinet see tips mixed vegetables put separate bowls red peppers beansprouts carrots shredded chinese leaf cabbage spring onions cooked prawns cooked chicken duck shredded garlic cloves piece ginger splash light soy sauce chinese fivespice powder sprinkling sheets brik filo pastry see tips egg beaten sesame seeds sprinkling want reduced salt sugar ketchup white wine vinegar piece ginger grated pinch caster sugar,4
164,nests egg noodles broccoli florets baby corn halved olive oil red pepper prawns tomato ketchup oyster sauce,4
165,skinless boneless chicken breasts diced lowsalt chicken stock wholewheat noodle baby corn halved lengthways frozen sweetcorn eggs beaten squeeze lemon juice sherry vinegar spring onions,4
